Open,High,Low,Close,Volume
2.16,2.17,2.14,2.15,1585303
2.18,2.2,2.16,2.17,4577002
2.16,2.18,2.16,2.17,997832
2.2,2.2,2.16,2.17,3983599
2.14,2.21,2.12,2.21,8652794
2.2,2.21,2.16,2.19,3931437
2.22,2.23,2.2,2.22,2441944
2.18,2.24,2.17,2.22,17189684
2.21,2.21,2.16,2.16,6000163
2.22,2.26,2.17,2.2,6469661
2.24,2.26,2.22,2.23,3737022
2.23,2.27,2.23,2.24,2916042
2.23,2.25,2.22,2.23,4147456
2.27,2.28,2.21,2.23,2680675
2.32,2.32,2.26,2.27,1650705
2.32,2.33,2.29,2.3,1587973
2.36,2.37,2.29,2.3,9683770
2.27,2.35,2.27,2.34,6122131
2.26,2.29,2.25,2.27,1193427
2.32,2.34,2.25,2.25,5593282
2.29,2.36,2.26,2.32,8686795
2.25,2.29,2.22,2.29,8624779
2.14,2.27,2.14,2.25,18737302
2.03,2.1,2.01,2.1,7713482
1.98,2.04,1.98,2.04,4531465
1.97,1.98,1.91,1.96,2888040
1.95,1.98,1.94,1.97,5397061
2.03,2.05,1.96,1.96,8985066
2.03,2.08,2.01,2.01,6961176
2.0,2.06,1.93,2.04,7463955
2.13,2.13,2.07,2.11,7084674
2.12,2.15,2.1,2.12,8086375
2.07,2.12,2.06,2.12,8069697
2.08,2.09,2.06,2.06,2810681
2.08,2.09,2.06,2.09,3248296
2.07,2.1,2.06,2.08,10437716
2.05,2.09,2.05,2.06,6609500
2.09,2.09,2.04,2.04,14043096
2.09,2.12,2.06,2.11,7338079
2.09,2.13,2.07,2.09,14255646
2.15,2.15,2.07,2.09,14762691
2.15,2.18,2.14,2.18,949769
2.16,2.18,2.13,2.15,5047144
2.21,2.22,2.16,2.17,7843842
2.17,2.2,2.16,2.2,8208354
2.15,2.18,2.14,2.17,5896754
2.18,2.19,2.16,2.16,1692667
2.18,2.19,2.15,2.17,5684692
2.12,2.22,2.1,2.19,19742838
2.12,2.13,2.1,2.1,6959339
2.08,2.09,2.05,2.06,4531366
2.11,2.16,2.11,2.12,10977855
2.15,2.16,2.06,2.11,11616169
2.2,2.2,2.16,2.18,3402649
2.23,2.24,2.17,2.2,11936847
2.28,2.28,2.2,2.25,19000851
2.3,2.34,2.26,2.3,17477397
2.2,2.31,2.2,2.3,23470444
2.23,2.25,2.19,2.19,3200638
2.19,2.27,2.15,2.23,8140257
2.16,2.18,2.11,2.15,2835956
2.16,2.18,2.14,2.16,1305177
2.17,2.17,2.15,2.15,591253
2.15,2.19,2.12,2.17,16015982
2.16,2.17,2.1,2.15,6393523
2.13,2.21,2.13,2.16,18781446
2.11,2.13,1.93,2.12,23381404
1.89,1.9,1.86,1.9,3810779
1.9,1.95,1.86,1.9,22742928
1.78,1.89,1.78,1.8,18220268
1.89,2.06,1.87,1.87,8307349
1.93,1.99,1.8,1.95,5126919
2.02,2.1,2.0,2.0,3082399
2.12,2.15,2.09,2.11,6736917
2.12,2.19,2.11,2.14,3478982
2.15,2.23,2.13,2.13,4478680
2.2,2.21,2.14,2.2,3519670
2.14,2.16,2.07,2.14,9750453
2.07,2.08,2.0,2.08,6170273
2.07,2.14,2.05,2.05,5288227
2.08,2.14,2.0,2.14,7475873
2.06,2.09,2.03,2.05,5269580
2.0,2.1,2.0,2.01,8193190
2.09,2.14,2.04,2.08,11615075
2.13,2.22,2.12,2.13,5198475
2.19,2.23,2.18,2.23,1296531
2.18,2.22,2.17,2.19,2799479
2.22,2.24,2.18,2.21,5689675
2.21,2.22,2.1,2.21,13321668
2.19,2.23,2.16,2.19,3295514
2.26,2.33,2.23,2.25,1653203
2.3,2.38,2.29,2.32,3741016
2.36,2.39,2.33,2.36,5072122
2.36,2.43,2.34,2.35,4487781
2.37,2.39,2.32,2.39,2022281
2.41,2.49,2.4,2.4,6225021
2.47,2.48,2.43,2.48,4817977
2.46,2.49,2.39,2.46,6104171
2.39,2.45,2.36,2.39,9020187
2.44,2.59,2.43,2.44,5206520
2.6,2.6,2.5,2.59,6587462
2.52,2.6,2.51,2.54,9149687
2.57,2.6,2.55,2.57,2687930
2.6,2.6,2.57,2.6,4787817
2.62,2.66,2.6,2.62,15367361
2.58,2.63,2.57,2.62,9048921
2.63,2.64,2.57,2.63,9939193
2.57,2.63,2.51,2.59,14308806
2.52,2.56,2.48,2.52,12652119
2.54,2.55,2.5,2.55,9818897
