Open,High,Low,Close,Volume
3.81,3.81,3.8,3.81,23650
3.84,3.88,3.8,3.81,93128
3.85,3.86,3.77,3.78,125870
3.89,3.89,3.8,3.87,169418
3.79,3.99,3.78,3.86,1023158
3.77,3.79,3.74,3.79,80508
3.74,3.78,3.74,3.76,133517
3.8,3.82,3.78,3.8,69949
3.79,3.85,3.78,3.84,368996
3.91,3.91,3.83,3.83,181037
3.84,3.91,3.82,3.9,208794
3.94,3.94,3.85,3.89,115944
3.85,3.95,3.85,3.91,297388
3.87,3.94,3.82,3.89,614447
3.98,3.99,3.87,3.87,675172
4.04,4.18,3.95,4.03,2587125
3.85,4.14,3.84,4.05,8120832
3.72,3.93,3.7,3.85,4250537
3.45,3.71,3.45,3.64,4143221
3.42,3.54,3.42,3.43,395431
3.52,3.6,3.4,3.44,1518425
3.31,3.58,3.28,3.46,2504848
3.19,3.33,3.19,3.27,1432021
3.1,3.17,3.1,3.14,472613
3.19,3.25,3.13,3.13,1212826
3.18,3.25,3.06,3.19,2148535
3.25,3.26,3.17,3.17,1790857
3.29,3.37,3.2,3.2,2746599
3.21,3.37,3.21,3.27,4021173
3.21,3.35,3.2,3.26,3062470
3.74,3.74,3.5,3.54,4238925
3.5,3.84,3.49,3.74,6938392
3.56,3.61,3.49,3.49,3485460
3.39,3.62,3.38,3.5,3617155
3.45,3.6,3.41,3.42,4840160
3.55,3.55,3.35,3.44,4210296
3.64,3.64,3.5,3.51,3958791
3.61,3.64,3.31,3.55,4353499
3.45,3.53,3.3,3.43,4333125
3.65,3.68,3.44,3.45,3607548
3.74,3.74,3.65,3.65,4551842
3.49,3.91,3.41,3.7,8931588
3.01,3.43,3.01,3.43,6728938
2.93,2.99,2.91,2.99,3517812
2.95,2.96,2.89,2.94,2913475
2.98,2.99,2.95,2.95,2397570
2.92,2.98,2.92,2.98,4788732
2.98,2.99,2.9,2.91,4268629
2.95,3.0,2.95,2.99,4268744
2.96,2.97,2.91,2.95,4858367
2.91,3.0,2.9,2.96,6641151
2.93,2.95,2.89,2.9,4385986
3.04,3.08,3.0,3.04,3224915
2.87,3.02,2.86,2.93,3679805
2.97,2.97,2.85,2.88,4568404
2.97,2.97,2.9,2.92,4191823
2.9,3.03,2.9,2.98,4497443
2.85,3.0,2.85,2.88,5001912
2.82,2.9,2.81,2.86,3365818
2.78,2.82,2.74,2.82,2535089
2.76,2.81,2.76,2.79,2371125
2.76,2.78,2.73,2.77,2822789
2.75,2.8,2.74,2.75,3649154
2.75,2.8,2.73,2.75,2711574
2.86,2.87,2.76,2.76,3905136
2.85,2.97,2.78,2.88,5419133
2.86,2.88,2.76,2.85,4739703
2.75,2.79,2.73,2.78,3354123
2.81,2.92,2.79,2.79,2650258
2.78,2.88,2.78,2.79,2189762
2.84,3.0,2.82,2.84,2520997
2.84,3.0,2.74,2.84,1738030
3.03,3.12,3.02,3.04,2787360
3.1,3.29,3.1,3.1,3699352
3.23,3.33,3.09,3.23,4293827
3.13,3.16,2.95,3.09,3799312
3.08,3.18,2.91,3.08,6336591
2.9,2.94,2.88,2.9,2865383
2.9,2.93,2.86,2.9,2957343
2.92,2.96,2.9,2.9,2810116
2.95,2.95,2.88,2.95,3782390
2.9,2.91,2.86,2.9,2236485
2.92,2.95,2.86,2.92,2728795
2.92,2.97,2.75,2.92,2317247
2.85,2.85,2.76,2.78,3357177
2.84,2.84,2.74,2.8,3422112
2.75,2.87,2.74,2.79,2645547
2.85,2.91,2.82,2.85,1463160
2.96,2.96,2.65,2.95,2378333
2.91,3.01,2.85,2.88,3724710
3.01,3.03,2.91,3.0,1935791
2.98,3.05,2.96,2.98,1788989
3.0,3.12,2.86,3.0,2025746
3.12,3.16,3.07,3.12,2130502
3.09,3.14,3.04,3.09,1209065
3.1,3.3,3.07,3.1,1433129
3.18,3.33,3.15,3.2,1895632
3.25,3.32,3.22,3.28,760177
3.22,3.4,3.22,3.34,1211383
3.37,3.4,3.37,3.4,1061571
3.35,3.44,3.35,3.39,2433840
3.4,3.41,3.35,3.4,3444253
3.36,3.4,3.3,3.35,3157160
3.32,3.4,3.27,3.33,2736012
3.31,3.38,3.31,3.31,1272952
3.35,3.52,3.3,3.37,917074
3.49,3.57,3.49,3.49,1883861
3.53,3.65,3.53,3.53,2056561
3.6,3.78,3.58,3.65,2962301
3.71,3.8,3.7,3.79,1842043
3.8,3.83,3.72,3.8,1462680
3.72,3.78,3.69,3.78,1670007
3.73,3.78,3.68,3.76,1728094
3.67,3.73,3.65,3.67,1570976
3.77,3.78,3.67,3.7,1116467
3.78,3.94,3.74,3.78,2473103
3.85,3.97,3.73,3.85,2176739
3.87,3.97,3.84,3.87,1294318
3.95,4.02,3.94,3.97,1523637
4.0,4.07,3.92,4.0,1538954
4.05,4.08,4.0,4.06,1494461
4.05,4.07,4.0,4.0,2090730
4.0,4.06,3.99,4.0,2375055
4.0,4.09,3.98,3.99,1933007
4.02,4.2,3.98,3.98,1862569
4.01,4.14,4.01,4.12,1548085
4.11,4.17,4.01,4.01,2037772
4.3,4.33,4.08,4.1,4085415
4.07,4.49,4.03,4.19,4848790
4.03,4.09,4.0,4.07,2286501
4.06,4.13,3.97,4.01,2826505
3.9,4.14,3.81,4.06,4098354
3.76,3.93,3.76,3.88,2860362
3.75,3.8,3.73,3.73,2572949
3.71,3.72,3.62,3.72,1682792
3.59,3.72,3.57,3.7,2172355
3.65,3.69,3.63,3.64,1392015
3.75,3.75,3.65,3.65,1603067
3.76,3.8,3.7,3.74,2482951
3.65,3.85,3.65,3.72,2141418
3.66,3.68,3.64,3.66,1554884
3.66,3.68,3.61,3.65,1589002
3.61,3.68,3.61,3.65,2901837
3.63,3.65,3.63,3.63,1279552
3.66,3.69,3.59,3.6,1789074
3.6,3.67,3.52,3.63,2309201
3.6,3.79,3.6,3.68,2844232
3.76,3.77,3.61,3.64,1919592
3.7,3.79,3.54,3.77,3044104
3.67,3.74,3.66,3.7,4388284
3.75,3.77,3.67,3.68,2381713
3.8,3.8,3.67,3.67,2051593
3.84,3.84,3.73,3.73,1542326
3.88,3.9,3.84,3.84,2048817
3.91,3.94,3.85,3.91,2501499
3.91,3.91,3.87,3.89,2385279
3.9,3.94,3.88,3.88,2699367
3.92,3.92,3.86,3.86,3312165
3.95,3.95,3.86,3.9,1846787
3.97,4.0,3.92,3.96,2100325
3.96,3.99,3.9,3.91,2034847
3.94,3.98,3.9,3.97,2045122
4.01,4.01,3.94,3.95,1812169
4.1,4.15,3.98,4.01,2171068
3.91,4.2,3.85,4.1,3130726
3.95,3.98,3.88,3.9,1374003
3.95,3.96,3.91,3.92,2128187
3.98,3.99,3.91,3.91,2598212
3.98,4.0,3.9,3.96,1587343
4.08,4.08,3.98,3.98,1707138
3.97,4.18,3.97,4.01,2783064
3.96,4.01,3.95,3.95,2170945
4.0,4.05,3.9,3.95,2300979
3.98,4.0,3.95,4.0,2081118
3.94,4.08,3.94,3.96,2146684
3.78,4.07,3.77,3.94,3361739
3.82,3.87,3.7,3.72,2629707
3.87,3.95,3.87,3.87,1939467
3.77,3.98,3.75,3.85,3006634
3.72,3.83,3.72,3.77,2228918
3.74,3.76,3.68,3.74,2674139
3.73,3.75,3.67,3.73,1654879
3.72,3.74,3.66,3.69,2113050
3.64,3.78,3.57,3.72,1603181
3.75,3.75,3.66,3.66,1347070
3.65,3.85,3.65,3.74,2063182
3.59,3.69,3.58,3.65,2665292
3.63,3.75,3.54,3.62,2760905
3.53,3.65,3.53,3.63,1552334
3.6,3.64,3.53,3.61,1690801
3.69,3.7,3.55,3.58,1661840
3.62,3.73,3.62,3.7,1552129
3.67,3.77,3.6,3.69,1268181
3.65,3.7,3.63,3.66,1474839
3.78,3.78,3.63,3.65,1294093
3.6,3.85,3.5,3.71,2449933
3.75,3.75,3.54,3.59,1104282
3.85,3.85,3.68,3.74,1293350
3.98,4.08,3.75,3.8,1266203
4.0,4.09,3.9,4.0,1522302
4.01,4.23,4.01,4.03,1554271
3.95,4.02,3.89,3.98,1278258
3.88,4.08,3.8,3.98,2440856
3.74,3.97,3.74,3.82,1378282
3.7,3.76,3.66,3.71,1054755
3.71,3.76,3.51,3.63,1034029
