Date,Open,High,Low,Close,Volume,Dividends,StockSplits,Capital Gains
2023-02-16,198.76038709596943,200.73863343136026,198.34543082552716,198.48052978515625,2458800,0.0,0.0,0.0
2023-02-17,197.60237316224155,198.0462633866948,196.4057719849646,197.90151977539062,2324000,0.0,0.0,0.0
2023-02-21,196.0390931364988,196.3768479048322,193.62660114749593,193.80030822753906,3110800,0.0,0.0,0.0
2023-02-22,193.96434107902283,194.8907444107974,192.93178751886452,193.63624572753906,3011700,0.0,0.0,0.0
2023-02-23,195.01619214800456,195.3732509628187,192.40105916814477,194.66879272460938,3440100,0.0,0.0,0.0
2023-02-24,192.31420684479812,192.9318042111881,191.22377046761932,192.49755859375,3020600,0.0,0.0,0.0
2023-02-27,194.26348508335198,194.95828389162946,192.72914385035637,193.1826934814453,2850300,0.0,0.0,0.0
2023-02-28,193.24057623341173,194.0415252077328,192.5361328125,192.5361328125,2299100,0.0,0.0,0.0
2023-03-01,192.40105061796496,192.9993438720703,191.2623468322854,192.9993438720703,4176000,0.0,0.0,0.0
2023-03-02,191.05969259511485,193.77133083362423,190.58683893434218,193.29847717285156,3364000,0.0,0.0,0.0
2023-03-03,194.04154974583383,196.56983653833507,193.87750206403695,196.44439697265625,2484700,0.0,0.0,0.0
2023-03-06,196.72423370275064,197.80502532700194,195.92328465096386,196.183837890625,3812700,0.0,0.0,0.0
2023-03-07,195.99083004503692,196.3478741019102,192.95108169231239,193.2598876953125,3346700,0.0,0.0,0.0
2023-03-08,193.3853489292884,193.96435288748216,192.42035214875366,193.51080322265625,1985900,0.0,0.0,0.0
2023-03-09,193.77133924438075,194.68808315942698,189.25514705626475,189.6894073486328,2974300,0.0,0.0,0.0
2023-03-10,189.38061540784022,190.10436298264725,185.53027300898125,186.49526977539062,6310500,0.0,0.0,0.0
2023-03-13,184.21787455451428,188.32877015271137,183.52307571326074,185.72328186035156,6253700,0.0,0.0,0.0
2023-03-14,188.65683977227647,190.05608193051083,186.79440335797196,189.03318786621094,4473800,0.0,0.0,0.0
