Date,Open,High,Low,Close,Volume
2025-08-01,2.76,2.8,2.76,2.79,13600805
2025-07-31,2.75,2.78,2.73,2.75,35056687
2025-07-29,2.72,2.73,2.6,2.64,32212155
2025-07-28,2.68,2.73,2.68,2.73,13849581
2025-07-25,2.71,2.73,2.67,2.67,19585998
2025-07-24,2.72,2.76,2.68,2.72,60637558
2025-07-22,2.63,2.64,2.57,2.61,11605068
2025-07-21,2.66,2.67,2.59,2.63,12688365
2025-07-18,2.71,2.73,2.62,2.65,27316077
2025-07-17,2.62,2.73,2.62,2.7,36027459
2025-07-16,2.66,2.72,2.62,2.62,44674201
2025-07-15,2.46,2.67,2.45,2.65,71811136
2025-07-14,2.45,2.48,2.42,2.46,17194422
2025-07-11,2.41,2.53,2.4,2.45,78583254
2025-07-10,2.37,2.42,2.34,2.39,21298076
2025-07-08,2.4,2.4,2.35,2.35,8416681
2025-07-07,2.43,2.43,2.37,2.39,12730585
2025-07-03,2.34,2.42,2.33,2.42,23280091
2025-07-02,2.39,2.4,2.33,2.35,10615090
2025-06-30,2.42,2.52,2.4,2.41,88518213
2025-06-26,2.29,2.35,2.28,2.35,42125396
2025-06-25,2.31,2.34,2.27,2.29,23481998
2025-06-24,2.22,2.3,2.21,2.3,45536521
2025-06-23,2.16,2.19,2.14,2.16,17115116
2025-06-19,2.18,2.19,2.15,2.15,23605841
2025-06-18,2.19,2.23,2.17,2.18,21249002
2025-06-17,2.24,2.28,2.18,2.18,26362295
2025-06-16,2.2,2.26,2.2,2.23,30598295
2025-06-13,2.1,2.21,2.1,2.21,50244469
2025-06-12,2.3,2.34,2.26,2.28,49666018
2025-06-11,2.36,2.4,2.34,2.37,42009102
2025-06-10,2.31,2.36,2.3,2.36,41190484
2025-06-09,2.3,2.34,2.27,2.31,31961706
2025-06-04,2.34,2.34,2.28,2.29,28336633
2025-06-03,2.35,2.37,2.31,2.34,47795473
2025-06-02,2.34,2.41,2.34,2.35,55957151
2025-05-30,2.37,2.39,2.33,2.33,53078593
2025-05-29,2.36,2.4,2.33,2.38,56158411
2025-05-28,2.29,2.38,2.28,2.35,80822462
2025-05-27,2.17,2.28,2.17,2.27,50141117
2025-05-26,2.17,2.2,2.16,2.18,20902957
2025-05-22,2.14,2.16,2.11,2.14,20206118
2025-05-21,2.16,2.18,2.14,2.14,20788991
2025-05-20,2.16,2.19,2.16,2.17,25898567
2025-05-19,2.18,2.21,2.16,2.16,26436920
2025-05-16,2.21,2.21,2.18,2.18,30026599
2025-05-15,2.18,2.21,2.14,2.21,41086220
2025-05-14,2.22,2.22,2.16,2.17,60367695
2025-05-12,2.24,2.25,2.22,2.23,30940446
2025-05-09,2.22,2.25,2.21,2.24,41548361
2025-05-08,2.22,2.25,2.18,2.22,54268859
2025-05-07,2.17,2.23,2.14,2.22,67614726
2025-05-06,2.25,2.26,2.19,2.19,62811131
2025-05-05,2.24,2.3,2.24,2.26,69218941
2025-05-02,2.2,2.26,2.19,2.25,95551043
2025-05-01,2.15,2.24,2.13,2.19,71560804
2025-04-29,2.18,2.23,2.11,2.11,72910211
2025-04-25,2.03,2.17,2.0,2.11,77926427
2025-04-24,1.92,2.13,1.89,2.04,123786938
2025-04-22,1.69,1.77,1.68,1.77,46582384
2025-04-21,1.67,1.75,1.65,1.7,29198441
2025-04-18,1.66,1.66,1.65,1.66,23958584
2025-04-17,1.65,1.67,1.64,1.65,32453719
2025-04-16,1.69,1.7,1.65,1.66,29764552
2025-04-15,1.71,1.74,1.69,1.7,43820659
2025-04-14,1.7,1.73,1.63,1.7,64018345
2025-04-11,1.6,1.64,1.59,1.6,34685187
2025-04-10,1.63,1.7,1.62,1.62,45843581
2025-04-09,1.62,1.63,1.46,1.62,62147727
2025-04-08,1.51,1.58,1.5,1.5,40316682
2025-04-07,1.5,1.54,1.46,1.52,45457775
2025-04-04,1.63,1.66,1.6,1.62,30915778
2025-04-03,1.61,1.71,1.6,1.62,37160706
2025-04-02,1.69,1.81,1.65,1.7,49412580
2025-03-28,1.66,1.67,1.63,1.66,22398265
2025-03-27,1.63,1.69,1.61,1.63,36404896
2025-03-26,1.6,1.62,1.53,1.6,44171602
2025-03-25,1.61,1.69,1.59,1.6,41335906
2025-03-24,1.69,1.75,1.67,1.67,30277926
2025-03-21,1.77,1.82,1.72,1.72,67827857
2025-03-20,1.82,1.86,1.82,1.82,19861955
2025-03-19,1.85,1.91,1.85,1.85,25950711
2025-03-18,1.85,1.86,1.8,1.84,24233051
2025-03-17,1.82,1.82,1.76,1.8,23850918
2025-03-14,1.76,1.77,1.73,1.76,19015688
2025-03-13,1.78,1.8,1.72,1.77,29121979
2025-03-12,1.71,1.73,1.68,1.72,21249311
2025-03-11,1.72,1.72,1.56,1.72,38789695
2025-03-10,1.66,1.76,1.63,1.64,23618249
2025-03-07,1.75,1.8,1.72,1.73,25060989
2025-03-06,1.8,1.86,1.79,1.79,25206314
2025-03-05,1.84,1.9,1.82,1.83,25452224
2025-03-04,1.91,1.91,1.88,1.91,17426459
2025-03-03,1.92,1.93,1.89,1.91,17652199
2025-02-28,1.89,1.92,1.88,1.92,24722296
2025-02-27,1.9,1.95,1.87,1.89,21554854
2025-02-26,1.95,1.96,1.92,1.94,19994198
2025-02-25,1.91,1.95,1.9,1.91,21005458
2025-02-24,1.96,2.02,1.95,1.95,20918505
2025-02-21,1.96,1.97,1.93,1.97,15006010
2025-02-20,1.95,1.98,1.94,1.94,18740331
2025-02-19,1.95,1.99,1.93,1.96,17500848
2025-02-18,1.95,1.97,1.87,1.97,20034889
2025-02-17,1.93,1.96,1.91,1.92,14237846
2025-02-14,1.96,1.98,1.95,1.95,16800529
2025-02-13,1.97,2.01,1.96,1.97,20076916
2025-02-12,2.0,2.01,1.98,2.01,16623894
2025-02-11,1.99,2.04,1.99,2.0,24169699
2025-02-10,2.03,2.06,2.02,2.03,17040519
2025-02-07,2.05,2.06,2.02,2.05,13242158
2025-02-06,2.03,2.09,2.02,2.03,24203832
2025-02-05,2.09,2.11,2.07,2.09,17857183
2025-02-04,2.11,2.12,2.08,2.11,17188781
2025-02-03,2.12,2.13,2.09,2.13,15090137
2025-01-31,2.12,2.13,2.11,2.11,21815491
2025-01-30,2.12,2.13,2.11,2.12,20483108
2025-01-29,2.12,2.14,2.11,2.11,19471279
2025-01-28,2.14,2.16,2.13,2.13,14104343
2025-01-27,2.15,2.19,2.15,2.16,14621813
2025-01-24,2.19,2.2,2.16,2.19,21015641
2025-01-23,2.18,2.18,2.12,2.17,18497943
2025-01-22,2.11,2.13,2.1,2.11,20118051
2025-01-21,2.14,2.14,2.09,2.14,21730733
2025-01-20,2.13,2.15,2.13,2.13,15243691
2025-01-17,2.13,2.15,2.12,2.13,18442306
2025-01-16,2.15,2.17,2.12,2.13,19742015
2025-01-15,2.17,2.19,2.15,2.15,20814007
2025-01-14,2.17,2.17,2.14,2.17,20719916
2025-01-13,2.22,2.23,2.16,2.16,27269246
2025-01-10,2.13,2.21,2.13,2.2,35303850
2025-01-09,2.08,2.15,2.07,2.13,25030242
2025-01-08,2.12,2.13,2.07,2.08,15917408
2025-01-07,2.15,2.18,2.12,2.12,23822912
2025-01-06,2.0,2.16,1.99,2.14,52324165
2025-01-03,2.0,2.01,1.99,2.01,14488283
2025-01-02,2.07,2.09,2.0,2.0,27639516
2024-12-31,2.06,2.11,2.06,2.07,30784134
2024-12-30,2.0,2.06,2.0,2.04,24827486
2024-12-27,2.0,2.01,1.99,1.99,21223326
2024-12-26,2.0,2.01,1.99,2.0,17765935
2024-12-25,1.99,2.02,1.98,2.0,15204162
2024-12-24,1.96,1.99,1.94,1.99,24528751
2024-12-23,1.98,2.0,1.95,1.95,19298574
2024-12-20,2.0,2.01,1.96,1.96,20310231
2024-12-19,2.01,2.02,1.96,1.99,19455611
2024-12-18,1.94,2.05,1.92,2.01,29561796
2024-12-17,1.95,1.97,1.92,1.92,22626309
2024-12-16,2.02,2.03,1.95,1.95,25949417
2024-12-13,2.05,2.05,2.03,2.04,14317144
2024-12-12,2.04,2.08,2.03,2.04,21646164
2024-12-11,2.05,2.07,2.03,2.04,23453124
2024-12-10,2.04,2.06,2.01,2.06,21208635
2024-12-09,2.08,2.08,2.03,2.05,22779315
2024-12-06,1.98,2.1,1.96,2.08,29713139
2024-12-05,2.02,2.04,1.98,1.98,29571032
2024-12-04,2.05,2.09,2.01,2.01,25108904
2024-11-29,2.08,2.08,2.04,2.04,25875621
2024-11-28,2.11,2.11,2.06,2.07,23368815
2024-11-27,2.12,2.16,2.1,2.1,25128690
2024-11-26,2.12,2.13,2.1,2.12,21356309
2024-11-25,2.13,2.15,2.12,2.12,29075861
2024-11-22,2.17,2.19,2.12,2.13,19297693
2024-11-21,2.22,2.22,2.15,2.17,21465636
2024-11-20,2.21,2.24,2.21,2.22,16871980
2024-11-19,2.24,2.24,2.21,2.22,20899612
2024-11-18,2.25,2.26,2.22,2.24,15158284
2024-11-15,2.23,2.27,2.21,2.24,22663153
2024-11-14,2.24,2.24,2.21,2.23,17804785
2024-11-13,2.24,2.25,2.22,2.23,18375827
2024-11-12,2.23,2.26,2.21,2.25,24597909
2024-11-11,2.25,2.26,2.22,2.23,17958633
2024-11-08,2.25,2.27,2.23,2.25,17809548
2024-11-07,2.27,2.3,2.24,2.25,26450425
2024-11-06,2.25,2.29,2.24,2.26,23650720
2024-11-05,2.22,2.26,2.19,2.24,18737464
2024-11-04,2.24,2.25,2.2,2.22,20989404
2024-11-01,2.27,2.27,2.24,2.25,29318112
2024-10-31,2.27,2.27,2.23,2.27,20630729
2024-10-30,2.26,2.28,2.25,2.27,18059188
2024-10-29,2.3,2.3,2.24,2.28,22651762
2024-10-28,2.3,2.32,2.28,2.29,22027390
2024-10-25,2.23,2.29,2.22,2.25,25404475
2024-10-24,2.18,2.28,2.16,2.27,32548632
2024-10-23,2.23,2.24,2.17,2.17,15704716
2024-10-22,2.23,2.26,2.22,2.23,20643934
2024-10-21,2.22,2.27,2.21,2.23,18774368
2024-10-18,2.25,2.25,2.22,2.23,17073864
2024-10-17,2.27,2.27,2.24,2.24,17124894
2024-10-16,2.27,2.28,2.25,2.27,19009547
2024-10-15,2.26,2.28,2.25,2.27,20326148
2024-10-14,2.29,2.32,2.25,2.25,24206032
2024-10-11,2.26,2.29,2.21,2.26,24748307
2024-10-10,2.3,2.33,2.26,2.26,20476234
2024-10-09,2.29,2.38,2.27,2.3,41334175
2024-10-08,2.21,2.28,2.2,2.27,29122294
2024-10-07,2.31,2.31,2.13,2.2,35640612
2024-10-04,2.34,2.35,2.26,2.28,28942844
2024-10-03,2.43,2.47,2.32,2.34,43279571
2024-10-02,2.4,2.45,2.35,2.37,40427067
2024-10-01,2.43,2.54,2.42,2.47,94122245
2024-09-30,2.28,2.39,2.26,2.36,49638174
2024-09-27,2.31,2.38,2.31,2.32,41678659
2024-09-26,2.27,2.33,2.25,2.31,33085950
2024-09-25,2.2,2.31,2.2,2.27,39155215
2024-09-24,2.25,2.25,2.2,2.22,19440305
2024-09-23,2.27,2.31,2.23,2.25,26401320
2024-09-20,2.27,2.35,2.26,2.26,54082310
2024-09-19,2.13,2.29,2.12,2.26,67955350
2024-09-18,2.16,2.16,2.11,2.12,20801308
2024-09-17,2.14,2.17,2.13,2.16,20623704
2024-09-16,2.08,2.15,2.08,2.14,23342064
2024-09-13,2.07,2.09,2.05,2.08,15026844
2024-09-12,2.08,2.1,2.05,2.06,21556998
2024-09-11,2.13,2.13,2.06,2.06,20622047
2024-09-10,2.15,2.17,2.12,2.13,19558157
2024-09-09,2.16,2.18,2.13,2.14,20062088
2024-09-06,2.14,2.16,2.13,2.15,19993487
2024-09-05,2.14,2.18,2.14,2.14,22860574
2024-09-04,2.15,2.16,2.12,2.14,22252664
2024-09-03,2.18,2.19,2.15,2.16,25240662
2024-09-02,2.15,2.21,2.15,2.17,25646041
2024-08-30,2.14,2.19,2.13,2.13,74705229
2024-08-29,2.14,2.14,2.12,2.14,19023950
2024-08-28,2.17,2.17,2.14,2.15,17744182
2024-08-27,2.17,2.18,2.15,2.16,14598941
2024-08-26,2.2,2.22,2.15,2.17,23860662
2024-08-23,2.21,2.24,2.2,2.2,23126998
2024-08-22,2.15,2.23,2.14,2.2,31893414
2024-08-21,2.14,2.15,2.13,2.14,18991015
2024-08-20,2.13,2.15,2.13,2.14,18449602
2024-08-19,2.14,2.16,2.12,2.13,15797669
2024-08-16,2.14,2.14,2.12,2.14,18177771
2024-08-15,2.11,2.13,2.08,2.12,20052566
2024-08-14,2.12,2.14,2.1,2.1,20386529
2024-08-13,2.15,2.16,2.1,2.1,24453253
2024-08-12,2.15,2.19,2.14,2.14,22790738
