Date,Open,High,Low,Close,Volume
2025-08-08,9.8,9.84,9.69,9.83,3786400
2025-08-07,9.87,9.95,9.77,9.77,9413996
2025-08-06,9.7,9.86,9.66,9.86,13574416
2025-08-05,9.55,9.64,9.53,9.57,8180054
2025-08-04,9.56,9.56,9.45,9.54,4066110
2025-08-01,9.55,9.61,9.44,9.57,6143831
2025-07-31,9.62,9.69,9.51,9.52,13226850
2025-07-30,9.6,9.62,9.4,9.62,10367793
2025-07-29,9.92,9.98,9.52,9.6,25150493
2025-07-28,9.85,9.97,9.82,9.9,8939115
2025-07-25,9.79,9.86,9.7,9.8,6271819
2025-07-24,9.84,9.93,9.71,9.75,8902737
2025-07-23,9.6,9.8,9.6,9.8,7204167
2025-07-22,9.58,9.65,9.46,9.6,7081007
2025-07-21,9.73,9.8,9.57,9.6,5072128
2025-07-18,9.74,9.83,9.69,9.74,7808860
2025-07-17,9.58,9.74,9.55,9.72,9167920
2025-07-16,9.71,9.78,9.57,9.57,11136075
2025-07-15,9.52,9.88,9.45,9.71,19452362
2025-07-14,9.45,9.62,9.36,9.45,14918388
2025-07-11,9.17,9.44,9.17,9.42,12047097
2025-07-10,9.23,9.33,9.2,9.2,5572051
2025-07-09,9.08,9.25,9.08,9.25,13505022
2025-07-08,9.06,9.14,9.03,9.08,19314451
2025-07-07,9.01,9.13,9.01,9.06,6304312
2025-07-04,9.08,9.16,8.99,9.0,5439489
2025-07-03,8.82,9.08,8.8,9.08,10788032
2025-07-02,8.9,8.93,8.76,8.82,6704488
2025-07-01,8.93,9.0,8.82,8.88,5274320
2025-06-30,8.9,9.17,8.88,8.92,21572075
2025-06-26,8.74,8.85,8.71,8.8,9909196
2025-06-25,8.92,8.96,8.69,8.72,12104098
2025-06-24,8.29,8.99,8.15,8.9,48856536
2025-06-23,7.94,8.13,7.9,8.09,11223749
2025-06-20,7.75,7.94,7.69,7.94,14922343
2025-06-19,7.71,7.82,7.51,7.6,10613416
2025-06-18,7.8,7.92,7.71,7.72,6896503
2025-06-17,7.9,7.98,7.8,7.8,6325751
2025-06-16,7.92,8.03,7.88,7.88,8809390
2025-06-13,7.85,7.97,7.7,7.88,17257106
2025-06-12,8.36,8.37,8.18,8.2,13928252
2025-06-11,8.41,8.55,8.39,8.39,8954162
2025-06-10,8.45,8.45,8.35,8.41,7124185
2025-06-09,8.32,8.47,8.27,8.45,9067731
2025-06-04,8.28,8.32,8.22,8.32,8732627
2025-06-03,8.25,8.32,8.22,8.28,4228531
2025-06-02,8.33,8.35,8.22,8.28,8538700
2025-05-30,8.37,8.43,8.31,8.31,31721579
2025-05-29,8.37,8.48,8.35,8.42,23718714
2025-05-28,8.35,8.44,8.35,8.37,9500342
2025-05-27,8.36,8.43,8.35,8.35,8907882
2025-05-26,8.37,8.4,8.33,8.37,4223206
2025-05-23,8.35,8.37,8.31,8.37,5611917
2025-05-22,8.35,8.37,8.3,8.36,13096471
2025-05-21,8.35,8.43,8.29,8.34,19013339
2025-05-20,8.31,8.43,8.28,8.3,10277288
2025-05-19,8.27,8.35,8.25,8.31,7906789
2025-05-16,8.16,8.31,8.13,8.27,13441491
2025-05-15,8.26,8.26,8.14,8.17,15758013
2025-05-14,8.43,8.43,8.16,8.26,11751164
2025-05-13,8.48,8.51,8.41,8.43,11082096
2025-05-12,8.38,8.54,8.38,8.43,15858808
2025-05-09,8.48,8.51,8.35,8.35,8767915
2025-05-08,8.35,8.57,8.35,8.53,18132011
2025-05-07,8.19,8.3,8.14,8.3,13284727
2025-05-06,8.11,8.21,8.11,8.19,12834886
2025-05-05,8.2,8.22,8.08,8.1,62316146
2025-05-02,8.26,8.32,8.21,8.24,5175158
2025-05-01,8.25,8.34,8.13,8.27,10604754
2025-04-30,8.43,8.43,8.26,8.26,11803225
2025-04-29,8.45,8.63,8.4,8.4,13513256
2025-04-28,8.22,8.36,8.22,8.32,5123707
2025-04-25,8.4,8.48,8.2,8.2,7632888
2025-04-24,8.12,8.47,8.12,8.37,12652085
2025-04-23,7.9,8.14,7.88,8.14,13508396
2025-04-22,8.0,8.0,7.86,7.86,11479573
2025-04-21,8.1,8.19,7.99,8.01,3788209
2025-04-18,7.98,8.1,7.9,8.1,1634861
2025-04-17,7.86,7.98,7.85,7.98,5575895
2025-04-16,8.06,8.06,7.83,7.9,9056648
2025-04-15,7.85,8.13,7.73,8.05,10726222
2025-04-14,7.86,7.93,7.78,7.85,7746985
2025-04-11,7.69,7.82,7.57,7.8,6245659
2025-04-10,7.75,8.03,7.67,7.74,11406231
2025-04-09,7.62,7.76,7.2,7.6,9933424
2025-04-08,7.5,7.98,7.46,7.5,11942553
2025-04-07,7.59,7.6,6.97,7.6,23421066
2025-04-04,7.79,8.01,7.72,7.72,16170617
2025-04-03,8.05,8.25,8.01,8.06,9031085
2025-04-02,8.21,8.54,8.15,8.25,10254189
2025-03-28,8.47,8.59,8.42,8.42,3651156
2025-03-27,8.59,8.67,8.56,8.67,4144895
2025-03-26,8.55,8.62,8.48,8.6,3545398
2025-03-25,8.55,8.7,8.52,8.53,4435344
2025-03-24,8.65,8.68,8.5,8.68,4609588
2025-03-21,8.55,8.63,8.44,8.45,11349782
2025-03-20,8.48,8.68,8.44,8.44,4526347
2025-03-19,8.64,8.68,8.52,8.65,7066366
2025-03-18,8.6,8.72,8.57,8.6,6927128
2025-03-17,8.67,8.73,8.6,8.7,5622755
2025-03-14,8.66,8.7,8.61,8.61,6225550
2025-03-13,8.66,8.85,8.63,8.63,7576874
2025-03-12,8.68,8.73,8.11,8.68,9399390
2025-03-11,8.22,8.54,7.63,8.24,18269865
2025-03-10,8.33,8.67,8.3,8.3,10023063
2025-03-07,8.6,8.86,8.56,8.6,8061519
2025-03-06,8.9,9.12,8.83,8.83,5913493
2025-03-05,9.13,9.26,9.06,9.06,12925489
2025-03-04,9.14,9.18,8.98,9.18,13859814
2025-03-03,9.01,9.15,8.84,9.0,8166057
2025-02-28,9.02,9.06,8.93,8.93,16410023
2025-02-27,8.97,9.14,8.87,9.0,9992288
2025-02-26,9.07,9.24,8.99,9.09,11742008
2025-02-25,9.25,9.33,9.22,9.23,12559655
2025-02-24,9.25,9.48,9.13,9.32,20357994
2025-02-21,9.14,9.16,9.0,9.16,6282682
2025-02-20,9.01,9.2,8.79,9.02,17662822
2025-02-19,8.79,8.95,8.65,8.84,20088847
2025-02-18,8.75,8.91,8.67,8.78,8991695
2025-02-17,8.84,9.19,8.65,8.91,13316472
2025-02-14,9.23,9.28,9.19,9.19,8238030
2025-02-13,9.26,9.28,9.03,9.25,21901344
2025-02-12,9.18,9.28,8.9,9.2,28462556
2025-02-11,9.1,9.17,8.6,9.1,40594429
2025-02-10,8.4,8.5,7.8,8.5,49186566
2025-02-07,7.96,7.99,7.83,7.96,12816831
2025-02-06,7.85,7.92,7.83,7.83,7356408
2025-02-05,7.85,7.89,7.74,7.88,17959575
2025-02-04,7.84,7.89,7.68,7.82,18521590
2025-02-03,7.65,7.7,7.59,7.68,9497109
2025-01-31,7.71,7.73,7.62,7.65,7314734
2025-01-30,7.67,7.72,7.63,7.63,3588407
2025-01-29,7.7,7.74,7.64,7.68,5621860
2025-01-28,7.75,7.8,7.7,7.73,5192348
2025-01-27,7.79,7.81,7.75,7.78,9527246
2025-01-24,7.79,7.79,7.68,7.75,8263887
2025-01-23,7.73,7.76,7.62,7.73,9790452
2025-01-22,7.66,7.69,7.5,7.62,11196786
2025-01-21,7.5,7.6,7.46,7.46,9545148
2025-01-20,7.56,7.63,7.53,7.53,3229814
2025-01-17,7.59,7.62,7.55,7.6,3105392
2025-01-16,7.67,7.74,7.57,7.57,6155714
2025-01-15,7.69,7.74,7.64,7.64,3717543
