Date,Open,High,Low,Close,Volume
2025-08-13,2.07,2.1,2.06,2.1,2900652
2025-08-08,2.1,2.11,2.08,2.08,1575365
2025-08-07,2.11,2.13,2.08,2.08,2667599
2025-08-06,2.08,2.12,2.08,2.11,4000788
2025-08-05,2.12,2.13,2.06,2.08,6668345
2025-08-04,2.11,2.12,2.09,2.12,3823450
2025-08-01,2.15,2.15,2.1,2.11,2229615
2025-07-31,2.16,2.17,2.13,2.15,4954896
2025-07-30,2.21,2.23,2.15,2.16,13021432
2025-07-29,2.17,2.21,2.14,2.21,3296048
2025-07-28,2.18,2.2,2.16,2.17,4577002
2025-07-25,2.16,2.18,2.16,2.17,997832
2025-07-24,2.2,2.2,2.16,2.17,3983599
2025-07-23,2.14,2.21,2.12,2.21,8652794
2025-07-22,2.16,2.19,2.11,2.15,3610824
2025-07-21,2.2,2.21,2.16,2.19,3931437
2025-07-18,2.22,2.23,2.2,2.22,2441944
2025-07-17,2.18,2.24,2.17,2.22,17189684
2025-07-16,2.21,2.21,2.16,2.16,6000163
2025-07-15,2.22,2.26,2.17,2.2,6469661
2025-07-14,2.24,2.26,2.22,2.23,3737022
2025-07-11,2.23,2.27,2.23,2.24,2916042
2025-07-10,2.23,2.25,2.22,2.23,4147456
2025-07-09,2.27,2.28,2.21,2.23,2680675
2025-07-08,2.32,2.32,2.26,2.27,1650705
2025-07-07,2.32,2.33,2.29,2.3,1587973
2025-07-04,2.29,2.32,2.28,2.3,2851381
2025-07-03,2.36,2.37,2.29,2.3,9683770
2025-07-02,2.27,2.35,2.27,2.34,6122131
2025-07-01,2.26,2.29,2.25,2.27,1193427
2025-06-30,2.32,2.34,2.25,2.25,5593282
2025-06-26,2.29,2.36,2.26,2.32,8686795
2025-06-25,2.25,2.29,2.22,2.29,8624779
2025-06-24,2.14,2.27,2.14,2.25,18737302
2025-06-23,2.03,2.1,2.01,2.1,7713482
2025-06-20,1.98,2.04,1.98,2.04,4531465
2025-06-19,1.97,1.98,1.91,1.96,2888040
2025-06-18,1.95,1.98,1.94,1.97,5397061
2025-06-17,2.03,2.05,1.96,1.96,8985066
2025-06-16,2.03,2.08,2.01,2.01,6961176
2025-06-13,2.0,2.06,1.93,2.04,7463955
2025-06-12,2.13,2.13,2.07,2.11,7084674
2025-06-11,2.12,2.15,2.1,2.12,8086375
2025-06-10,2.07,2.12,2.06,2.12,8069697
2025-06-09,2.08,2.09,2.06,2.06,2810681
2025-06-04,2.08,2.09,2.06,2.09,3248296
2025-06-03,2.07,2.1,2.06,2.08,10437716
2025-06-02,2.05,2.09,2.05,2.06,6609500
2025-05-30,2.09,2.09,2.04,2.04,14043096
2025-05-29,2.12,2.14,2.07,2.09,5363067
2025-05-28,2.09,2.12,2.06,2.11,7338079
2025-05-27,2.09,2.13,2.07,2.09,14255646
2025-05-26,2.15,2.15,2.07,2.09,14762691
2025-05-23,2.15,2.18,2.14,2.18,949769
2025-05-22,2.16,2.18,2.13,2.15,5047144
2025-05-21,2.21,2.22,2.16,2.17,7843842
2025-05-20,2.17,2.2,2.16,2.2,8208354
2025-05-19,2.15,2.18,2.14,2.17,5896754
2025-05-16,2.18,2.19,2.16,2.16,1692667
2025-05-15,2.18,2.19,2.15,2.17,5684692
2025-05-14,2.12,2.22,2.1,2.19,19742838
2025-05-13,2.12,2.13,2.1,2.1,6959339
2025-05-12,2.1,2.13,2.1,2.11,10222927
2025-05-09,2.08,2.13,2.07,2.07,4556430
2025-05-08,2.08,2.09,2.05,2.06,4531366
2025-05-07,2.14,2.14,2.08,2.1,3947444
2025-05-06,2.11,2.16,2.11,2.12,10977855
2025-05-05,2.15,2.16,2.06,2.11,11616169
2025-05-02,2.2,2.2,2.16,2.18,3402649
2025-05-01,2.23,2.24,2.17,2.2,11936847
2025-04-30,2.28,2.28,2.2,2.25,19000851
2025-04-29,2.3,2.34,2.26,2.3,17477397
2025-04-28,2.2,2.31,2.2,2.3,23470444
2025-04-25,2.23,2.25,2.19,2.19,3200638
2025-04-24,2.19,2.27,2.15,2.23,8140257
2025-04-23,2.16,2.19,2.15,2.19,5096968
2025-04-22,2.16,2.18,2.11,2.15,2835956
2025-04-21,2.16,2.18,2.14,2.16,1305177
2025-04-18,2.17,2.17,2.15,2.15,591253
2025-04-17,2.15,2.19,2.12,2.17,16015982
2025-04-16,2.16,2.17,2.1,2.15,6393523
2025-04-15,2.13,2.21,2.13,2.16,18781446
2025-04-14,2.11,2.13,1.93,2.12,23381404
2025-04-11,1.89,1.9,1.86,1.9,3810779
2025-04-10,1.9,1.95,1.86,1.9,22742928
2025-04-09,1.78,1.89,1.78,1.8,18220268
2025-04-08,1.89,2.06,1.87,1.87,8307349
2025-04-07,1.93,1.99,1.8,1.95,5126919
2025-04-04,2.02,2.1,2.0,2.0,3082399
2025-04-03,2.12,2.15,2.09,2.11,6736917
2025-04-02,2.12,2.19,2.11,2.14,3478982
2025-03-28,2.15,2.23,2.13,2.13,4478680
2025-03-27,2.2,2.21,2.14,2.2,3519670
2025-03-26,2.14,2.16,2.07,2.14,9750453
2025-03-25,2.07,2.08,2.0,2.08,6170273
2025-03-24,2.07,2.14,2.05,2.05,5288227
2025-03-21,2.08,2.14,2.0,2.14,7475873
2025-03-20,2.06,2.09,2.03,2.05,5269580
2025-03-19,2.0,2.1,2.0,2.01,8193190
2025-03-18,2.09,2.14,2.04,2.08,11615075
2025-03-17,2.13,2.22,2.12,2.13,5198475
2025-03-14,2.19,2.23,2.18,2.23,1296531
2025-03-13,2.18,2.22,2.17,2.19,2799479
2025-03-12,2.22,2.24,2.18,2.21,5689675
2025-03-11,2.21,2.22,2.1,2.21,13321668
2025-03-10,2.19,2.23,2.16,2.19,3295514
2025-03-07,2.26,2.33,2.23,2.25,1653203
2025-03-06,2.3,2.38,2.29,2.32,3741016
2025-03-05,2.36,2.39,2.33,2.36,5072122
2025-03-04,2.36,2.43,2.34,2.35,4487781
2025-03-03,2.37,2.39,2.32,2.39,2022281
2025-02-28,2.41,2.49,2.4,2.4,6225021
2025-02-27,2.47,2.48,2.43,2.48,4817977
2025-02-26,2.46,2.49,2.39,2.46,6104171
2025-02-25,2.39,2.45,2.36,2.39,9020187
2025-02-24,2.44,2.59,2.43,2.44,5206520
2025-02-21,2.6,2.6,2.5,2.59,6587462
2025-02-20,2.52,2.6,2.51,2.54,9149687
2025-02-19,2.57,2.6,2.55,2.57,2687930
2025-02-18,2.6,2.6,2.57,2.6,4787817
2025-02-17,2.62,2.66,2.6,2.62,15367361
2025-02-14,2.58,2.63,2.57,2.62,9048921
2025-02-13,2.63,2.64,2.57,2.63,9939193
2025-02-12,2.57,2.63,2.51,2.59,14308806
2025-02-11,2.52,2.56,2.48,2.52,12652119
2025-02-10,2.54,2.55,2.5,2.55,9818897
2025-02-07,2.54,2.59,2.45,2.52,13838665
2025-02-06,2.42,2.47,2.41,2.43,13383708
2025-02-05,2.41,2.49,2.35,2.43,33126866
2025-02-04,2.35,2.41,2.33,2.35,17070499
2025-02-03,2.41,2.42,2.38,2.41,11545228
2025-01-31,2.35,2.41,2.34,2.35,1836437
2025-01-30,2.4,2.44,2.39,2.39,16212948
2025-01-29,2.4,2.46,2.4,2.4,3956535
2025-01-28,2.41,2.42,2.39,2.4,1996872
2025-01-27,2.43,2.45,2.4,2.43,2310620
2025-01-24,2.41,2.42,2.39,2.42,1921526
2025-01-23,2.43,2.45,2.41,2.42,1165651
2025-01-22,2.44,2.46,2.37,2.46,4996195
2025-01-21,2.41,2.47,2.41,2.41,7115538
2025-01-20,2.48,2.5,2.43,2.48,20035668
2025-01-17,2.41,2.41,2.38,2.38,2858985
2025-01-16,2.4,2.42,2.35,2.4,13892844
2025-01-15,2.35,2.43,2.34,2.4,24176092
2025-01-14,2.2,2.28,2.18,2.28,16642964
2025-01-13,2.19,2.2,2.18,2.2,5729684
2025-01-10,2.18,2.2,2.17,2.2,2942131
2025-01-09,2.14,2.18,2.12,2.18,12350808
2025-01-08,2.14,2.15,2.09,2.14,11915404
2025-01-07,2.19,2.2,2.13,2.14,6744191
2025-01-06,2.23,2.23,2.17,2.19,3364328
2025-01-03,2.22,2.24,2.2,2.2,497952
2025-01-02,2.23,2.24,2.2,2.22,979505
2024-12-31,2.22,2.26,2.21,2.21,1025968
2024-12-30,2.26,2.27,2.21,2.22,3855054
2024-12-27,2.28,2.28,2.25,2.25,223052
2024-12-26,2.26,2.28,2.24,2.24,965690
2024-12-25,2.24,2.26,2.23,2.26,866932
2024-12-24,2.26,2.28,2.22,2.23,1647446
2024-12-23,2.29,2.3,2.24,2.24,3189140
2024-12-20,2.29,2.31,2.27,2.28,3254515
2024-12-19,2.29,2.29,2.26,2.26,1481187
2024-12-18,2.27,2.34,2.27,2.27,2625425
2024-12-17,2.32,2.32,2.27,2.27,2591602
2024-12-16,2.36,2.36,2.25,2.31,6128966
2024-12-13,2.3,2.36,2.29,2.36,3714040
2024-12-12,2.29,2.32,2.29,2.32,2090524
2024-12-11,2.29,2.31,2.27,2.28,3069160
2024-12-10,2.25,2.3,2.23,2.3,4969800
2024-12-09,2.19,2.26,2.18,2.26,7202131
2024-12-06,2.17,2.19,2.15,2.19,2860597
2024-12-05,2.17,2.19,2.14,2.19,4328900
2024-12-04,2.16,2.2,2.16,2.17,6607259
2024-11-29,2.18,2.21,2.16,2.16,4152641
2024-11-28,2.14,2.19,2.1,2.17,8480297
2024-11-27,2.17,2.18,2.11,2.12,7090056
2024-11-26,2.25,2.25,2.15,2.16,8872300
2024-11-25,2.28,2.29,2.23,2.23,19163719
2024-11-22,2.26,2.28,2.23,2.27,2945336
2024-11-21,2.27,2.28,2.22,2.22,2921981
2024-11-20,2.28,2.29,2.26,2.26,2263756
2024-11-19,2.24,2.28,2.21,2.28,9960059
2024-11-18,2.26,2.28,2.22,2.24,9954541
2024-11-15,2.3,2.3,2.24,2.24,1578657
2024-11-14,2.29,2.32,2.28,2.28,8084784
2024-11-13,2.31,2.33,2.27,2.31,8872245
2024-11-12,2.35,2.37,2.3,2.31,11992854
2024-11-11,2.42,2.43,2.34,2.34,8145379
2024-11-08,2.42,2.47,2.39,2.43,5089064
2024-11-07,2.43,2.44,2.35,2.42,13221441
2024-11-06,2.26,2.42,2.26,2.41,55720899
2024-11-05,2.28,2.28,2.22,2.24,8549984
2024-11-04,2.29,2.32,2.26,2.27,12387841
2024-11-01,2.25,2.3,2.22,2.28,4415278
2024-10-31,2.35,2.35,2.24,2.26,15955332
2024-10-30,2.38,2.38,2.34,2.37,5384058
2024-10-29,2.4,2.42,2.35,2.36,2759504
2024-10-28,2.41,2.45,2.4,2.4,7062214
2024-10-25,2.36,2.4,2.36,2.37,941198
2024-10-24,2.38,2.41,2.36,2.38,5279157
2024-10-23,2.42,2.44,2.36,2.37,3921830
2024-10-22,2.44,2.47,2.42,2.42,5348583
2024-10-21,2.46,2.47,2.43,2.44,4393904
2024-10-18,2.49,2.49,2.47,2.47,980606
2024-10-17,2.53,2.53,2.48,2.49,509751
2024-10-16,2.54,2.54,2.5,2.51,1781502
2024-10-15,2.49,2.53,2.48,2.53,8026469
2024-10-14,2.49,2.5,2.46,2.47,6316478
2024-10-11,2.48,2.5,2.46,2.46,434102
2024-10-10,2.46,2.49,2.46,2.46,1276666
2024-10-09,2.49,2.49,2.46,2.46,4609300
2024-10-08,2.52,2.53,2.48,2.48,3449202
2024-10-07,2.52,2.53,2.49,2.5,4198391
2024-10-04,2.58,2.58,2.51,2.52,1153267
2024-10-03,2.57,2.58,2.53,2.54,6412281
2024-10-02,2.59,2.59,2.56,2.57,7508499
2024-10-01,2.65,2.68,2.59,2.61,5333100
2024-09-30,2.66,2.71,2.63,2.65,10704615
2024-09-27,2.59,2.64,2.59,2.61,4159726
2024-09-26,2.61,2.61,2.57,2.58,4467944
2024-09-25,2.6,2.62,2.58,2.59,3946272
2024-09-24,2.56,2.6,2.54,2.6,6603798
2024-09-23,2.61,2.61,2.53,2.56,6831662
2024-09-20,2.62,2.63,2.59,2.59,4919257
2024-09-19,2.63,2.64,2.6,2.6,2223772
2024-09-18,2.65,2.67,2.61,2.63,2858657
2024-09-17,2.63,2.66,2.62,2.65,1395909
2024-09-16,2.64,2.65,2.63,2.63,763506
2024-09-13,2.64,2.64,2.59,2.63,1928051
2024-09-12,2.64,2.65,2.61,2.63,2633511
2024-09-11,2.66,2.66,2.61,2.61,3597566
2024-09-10,2.69,2.7,2.65,2.66,5835265
2024-09-09,2.75,2.75,2.67,2.67,2302307
2024-09-06,2.76,2.79,2.76,2.76,1655021
2024-09-05,2.76,2.78,2.75,2.76,9688172
2024-09-04,2.82,2.82,2.76,2.76,1813877
2024-09-03,2.84,2.84,2.81,2.82,316433
2024-09-02,2.85,2.91,2.81,2.84,2734782
2024-08-30,2.85,2.9,2.82,2.9,5218900
2024-08-29,2.82,2.83,2.79,2.83,2083030
2024-08-28,2.82,2.82,2.79,2.81,1684948
2024-08-27,2.85,2.86,2.8,2.83,1224995
2024-08-26,2.78,2.85,2.77,2.85,8023407
2024-08-23,2.8,2.8,2.76,2.76,2358685
2024-08-22,2.78,2.8,2.78,2.8,1783843
2024-08-21,2.85,2.85,2.78,2.78,3499577
2024-08-20,2.85,2.85,2.82,2.84,3484147
2024-08-19,2.8,2.86,2.78,2.85,8786239
2024-08-16,2.74,2.76,2.73,2.76,2660833
2024-08-15,2.71,2.74,2.7,2.72,8819758
2024-08-14,2.62,2.71,2.62,2.68,10948938
2024-08-13,2.66,2.67,2.62,2.63,4545338
2024-08-12,2.69,2.73,2.65,2.66,11135126
2024-08-09,2.66,2.67,2.62,2.67,3394607
2024-08-08,2.7,2.7,2.63,2.66,10276154
2024-08-07,2.8,2.8,2.69,2.69,11938830
2024-08-06,2.86,2.93,2.79,2.79,6706926
2024-08-05,3.0,3.0,2.82,2.85,5105296
2024-08-02,3.05,3.05,2.99,3.0,1372696
2024-08-01,3.08,3.08,3.02,3.05,2822036
2024-07-31,3.04,3.1,3.02,3.09,8328527
2024-07-30,3.11,3.11,3.01,3.04,5431267
2024-07-29,3.12,3.14,3.09,3.13,2241659
2024-07-26,3.09,3.1,3.08,3.1,620883
2024-07-25,3.13,3.13,3.09,3.11,1102972
2024-07-24,3.14,3.15,3.13,3.14,1016363
2024-07-23,3.12,3.15,3.12,3.15,1408033
2024-07-22,3.1,3.13,3.1,3.13,1619409
2024-07-19,3.09,3.09,3.07,3.09,754763
2024-07-18,3.09,3.11,3.08,3.11,1942253
2024-07-17,3.12,3.12,3.08,3.08,1259007
2024-07-16,3.1,3.12,3.1,3.12,1133629
2024-07-15,3.13,3.13,3.08,3.1,1484059
2024-07-12,3.1,3.13,3.1,3.13,814547
2024-07-11,3.13,3.14,3.1,3.1,2051120
2024-07-10,3.12,3.13,3.09,3.1,3123937
2024-07-09,3.14,3.15,3.13,3.13,605202
2024-07-08,3.12,3.15,3.12,3.15,2075217
2024-07-05,3.11,3.13,3.1,3.13,937521
2024-07-04,3.13,3.14,3.1,3.13,1771932
2024-07-03,3.15,3.15,3.13,3.15,1942187
2024-07-02,3.14,3.17,3.13,3.13,9671489
2024-07-01,3.14,3.16,3.12,3.15,3445244
2024-06-28,3.14,3.19,3.11,3.19,12795566
2024-06-27,3.07,3.15,3.07,3.15,4460365
2024-06-26,3.05,3.1,3.04,3.08,4160996
2024-06-25,3.01,3.07,3.0,3.05,2321732
2024-06-24,3.05,3.06,3.0,3.03,3056307
2024-06-21,3.01,3.05,3.01,3.05,5068951
2024-06-20,2.99,3.04,2.95,3.0,1260239
2024-06-19,3.02,3.04,2.99,2.99,763223
2024-06-14,3.02,3.03,3.0,3.01,1464933
2024-06-13,3.02,3.05,3.01,3.01,1554886
2024-06-12,3.09,3.09,3.03,3.04,5571197
2024-06-11,3.04,3.12,3.04,3.1,3273133
2024-06-10,3.04,3.06,3.02,3.04,2987599
2024-06-07,3.05,3.07,3.01,3.01,1222549
2024-06-06,3.11,3.11,3.03,3.04,2159450
2024-06-05,3.18,3.24,3.09,3.1,5466328
2024-06-04,3.21,3.27,3.18,3.24,7916620
2024-06-03,3.25,3.25,3.17,3.2,4523849
2024-05-31,3.23,3.4,3.22,3.24,52071249
2024-05-30,3.17,3.28,3.17,3.22,9574154
2024-05-29,3.25,3.25,3.19,3.19,6693731
2024-05-28,3.22,3.31,3.2,3.25,6836402
2024-05-27,3.18,3.26,3.17,3.25,4105290
2024-05-24,3.2,3.24,3.18,3.18,3753775
2024-05-23,3.25,3.27,3.23,3.25,4597290
2024-05-22,3.25,3.32,3.23,3.28,8009768
