Date,Open,High,Low,Close,Volume
2025-10-07,3.26,3.4,3.26,3.35,702955
2025-10-06,3.22,3.29,3.22,3.25,175129
2025-10-03,3.21,3.28,3.2,3.21,207583
2025-10-01,3.21,3.22,3.18,3.2,57764
2025-09-30,3.25,3.25,3.2,3.2,68842
2025-09-29,3.24,3.29,3.24,3.25,85527
2025-09-26,3.23,3.25,3.22,3.24,225061
2025-09-25,3.28,3.3,3.23,3.23,75908
2025-09-24,3.28,3.3,3.26,3.29,34457
2025-09-23,3.25,3.38,3.25,3.3,937746
2025-09-22,3.24,3.34,3.24,3.25,133562
2025-09-19,3.46,3.46,3.31,3.31,2616612
2025-09-18,3.47,3.5,3.46,3.48,64021
2025-09-17,3.57,3.62,3.46,3.47,240758
2025-09-15,3.49,3.57,3.49,3.53,84591
2025-09-12,3.55,3.55,3.45,3.47,58776
2025-09-11,3.53,3.6,3.53,3.57,134421
2025-09-10,3.51,3.52,3.46,3.52,20221
2025-09-09,3.47,3.57,3.47,3.57,69219
2025-09-08,3.53,3.53,3.44,3.46,100914
2025-09-04,3.49,3.54,3.49,3.53,16349
2025-09-03,3.5,3.54,3.48,3.54,7338
2025-09-02,3.44,3.54,3.41,3.51,52493
2025-09-01,3.56,3.57,3.4,3.48,198836
2025-08-29,3.63,3.63,3.57,3.57,84787
2025-08-28,3.75,3.75,3.6,3.62,565618
2025-08-27,3.73,3.75,3.68,3.75,157906
2025-08-26,3.74,3.74,3.73,3.73,24720
2025-08-25,3.78,3.78,3.74,3.75,62411
2025-08-22,3.75,3.81,3.75,3.78,63754
2025-08-20,3.83,3.83,3.73,3.75,578392
2025-08-19,3.7,3.82,3.7,3.8,506681
2025-08-18,3.72,3.72,3.69,3.69,39023
2025-08-15,3.76,3.8,3.71,3.71,71792
2025-08-14,3.71,3.8,3.71,3.8,318559
2025-08-13,3.75,3.75,3.66,3.71,133380
2025-08-12,3.74,3.79,3.72,3.75,116870
2025-08-11,3.8,3.8,3.77,3.79,51120
2025-08-08,3.82,3.82,3.75,3.8,278400
2025-08-07,3.74,3.91,3.74,3.82,232573
2025-08-06,3.78,3.78,3.73,3.76,58614
2025-08-05,3.8,3.8,3.73,3.78,70747
2025-08-04,3.77,3.77,3.75,3.75,78325
2025-08-01,3.82,3.82,3.73,3.74,217956
2025-07-31,3.81,3.9,3.79,3.88,234627
2025-07-30,3.84,3.88,3.8,3.81,93128
2025-07-29,3.8,3.93,3.73,3.88,849610
2025-07-28,3.85,3.86,3.77,3.78,125870
2025-07-25,3.89,3.89,3.8,3.87,169418
2025-07-24,3.79,3.99,3.78,3.86,1023158
2025-07-23,3.77,3.79,3.74,3.79,80508
2025-07-22,3.74,3.78,3.74,3.76,133517
2025-07-21,3.8,3.82,3.78,3.8,69949
2025-07-18,3.79,3.85,3.78,3.84,368996
2025-07-17,3.84,3.84,3.73,3.75,729042
2025-07-16,3.91,3.91,3.83,3.83,181037
