Date,Open,High,Low,Close,Volume
2025-08-08,1.54,1.57,1.48,1.51,20446921
2025-08-07,1.49,1.56,1.49,1.54,25708059
2025-08-06,1.52,1.53,1.47,1.47,4007264
2025-08-05,1.5,1.55,1.5,1.51,19263838
2025-08-04,1.45,1.51,1.45,1.5,12851025
2025-08-01,1.45,1.47,1.43,1.45,2300994
2025-07-31,1.44,1.47,1.44,1.45,2021554
2025-07-30,1.46,1.46,1.44,1.46,1602096
2025-07-29,1.49,1.5,1.44,1.45,3045403
2025-07-28,1.5,1.51,1.47,1.49,3608944
2025-07-25,1.52,1.52,1.48,1.49,9767369
2025-07-24,1.44,1.52,1.44,1.51,16955524
2025-07-23,1.44,1.46,1.42,1.44,3376468
2025-07-22,1.45,1.46,1.42,1.42,4660417
2025-07-21,1.45,1.47,1.44,1.45,1820155
2025-07-18,1.44,1.47,1.44,1.45,3341636
2025-07-17,1.46,1.47,1.44,1.44,4619195
2025-07-16,1.47,1.49,1.45,1.46,6282623
2025-07-15,1.47,1.48,1.45,1.47,9300723
2025-07-14,1.49,1.49,1.45,1.47,7521815
2025-07-11,1.47,1.51,1.46,1.47,7895020
2025-07-10,1.51,1.51,1.46,1.47,5840303
2025-07-09,1.5,1.53,1.44,1.5,18262258
2025-07-08,1.57,1.58,1.48,1.49,33549492
2025-07-07,1.39,1.56,1.37,1.56,68635892
2025-07-04,1.34,1.41,1.34,1.36,32347763
2025-07-03,1.32,1.36,1.32,1.33,11200737
2025-07-02,1.33,1.35,1.32,1.32,6281668
2025-07-01,1.34,1.36,1.32,1.32,3588802
2025-06-30,1.35,1.36,1.34,1.34,5415142
2025-06-26,1.33,1.35,1.3,1.34,9065332
2025-06-25,1.31,1.36,1.31,1.33,12209648
2025-06-24,1.3,1.32,1.28,1.3,9347517
2025-06-23,1.26,1.28,1.24,1.26,5535716
2025-06-20,1.28,1.29,1.25,1.25,10362996
2025-06-19,1.3,1.3,1.25,1.26,2570454
2025-06-18,1.32,1.33,1.28,1.29,4746031
2025-06-17,1.34,1.35,1.32,1.33,1821958
2025-06-16,1.3,1.37,1.3,1.34,2597021
2025-06-13,1.33,1.33,1.26,1.32,4358215
2025-06-12,1.43,1.44,1.37,1.38,5495662
2025-06-11,1.42,1.45,1.41,1.44,3145128
2025-06-10,1.43,1.44,1.41,1.41,1711650
2025-06-09,1.41,1.43,1.4,1.43,3383169
2025-06-04,1.41,1.42,1.4,1.41,1798435
2025-06-03,1.42,1.43,1.4,1.42,4430829
2025-06-02,1.42,1.44,1.42,1.43,1927125
2025-05-30,1.44,1.45,1.42,1.42,1388636
2025-05-29,1.45,1.46,1.44,1.44,1034583
2025-05-28,1.45,1.46,1.42,1.45,5840767
2025-05-27,1.46,1.46,1.44,1.45,2305510
2025-05-26,1.47,1.47,1.45,1.46,1212893
2025-05-23,1.46,1.47,1.45,1.46,1358647
2025-05-22,1.45,1.47,1.45,1.45,2286354
2025-05-21,1.48,1.49,1.46,1.46,1782360
2025-05-20,1.48,1.49,1.47,1.48,2563108
2025-05-19,1.47,1.49,1.45,1.48,5389019
2025-05-16,1.49,1.49,1.46,1.46,2577278
2025-05-15,1.49,1.51,1.48,1.48,4842788
2025-05-14,1.51,1.51,1.48,1.49,4774120
2025-05-13,1.49,1.51,1.48,1.5,8600234
2025-05-12,1.46,1.48,1.45,1.48,3958786
2025-05-09,1.44,1.47,1.44,1.45,3439462
2025-05-08,1.46,1.47,1.43,1.44,8281827
2025-05-07,1.47,1.47,1.41,1.45,19383043
2025-05-06,1.55,1.57,1.54,1.55,7586274
2025-05-05,1.52,1.55,1.51,1.54,6482561
2025-05-02,1.51,1.53,1.47,1.52,10209887
2025-05-01,1.51,1.52,1.5,1.51,7795907
2025-04-30,1.52,1.53,1.49,1.51,5416738
2025-04-29,1.56,1.56,1.51,1.52,4807394
2025-04-28,1.57,1.61,1.55,1.56,18397605
2025-04-25,1.59,1.59,1.53,1.56,18810959
2025-04-24,1.43,1.59,1.43,1.58,30457578
2025-04-23,1.42,1.45,1.42,1.44,9210162
2025-04-22,1.44,1.44,1.42,1.44,8876942
2025-04-21,1.42,1.46,1.41,1.44,3760098
2025-04-18,1.43,1.44,1.41,1.42,2554031
