Date,Open,High,Low,Close,Volume
2025-08-01,3.68,3.68,3.68,3.68,89
2025-07-31,3.69,3.69,3.67,3.68,305244
2025-07-29,3.63,3.72,3.63,3.67,153032
2025-07-28,3.63,3.63,3.63,3.63,509
2025-07-25,3.6,3.65,3.54,3.63,19482
2025-07-24,3.68,3.68,3.54,3.54,1000
2025-07-23,3.51,3.64,3.51,3.54,9106
2025-07-22,3.52,3.52,3.44,3.44,74988
2025-07-18,3.49,3.5,3.46,3.5,127880
2025-07-17,3.44,3.55,3.44,3.46,201870
2025-07-16,3.55,3.55,3.46,3.46,237421
2025-07-15,3.4,3.5,3.4,3.5,63188
2025-07-14,3.46,3.6,3.46,3.5,26840
2025-07-10,3.5,3.5,3.46,3.46,730
2025-07-09,3.5,3.5,3.43,3.43,54335
2025-07-08,3.46,3.46,3.46,3.46,1154
2025-07-07,3.47,3.56,3.45,3.45,144257
2025-07-03,3.49,3.49,3.44,3.49,1309
2025-07-02,3.59,3.59,3.46,3.5,50441
2025-07-01,3.35,3.5,3.35,3.5,41036
2025-06-30,3.45,3.45,3.44,3.44,14000
2025-06-26,3.43,3.43,3.42,3.42,18317
2025-06-25,3.45,3.45,3.42,3.42,13588
2025-06-24,3.34,3.45,3.34,3.45,2600
2025-06-20,3.42,3.42,3.41,3.41,189
2025-06-18,3.3,3.43,3.3,3.43,3123
2025-06-17,3.43,3.43,3.33,3.43,1279
2025-06-16,3.43,3.43,3.33,3.43,694
2025-06-13,3.38,3.42,3.38,3.42,1552
2025-06-10,3.42,3.43,3.41,3.43,5873
2025-06-09,3.45,3.45,3.45,3.45,5
2025-06-04,3.45,3.45,3.36,3.36,568
2025-06-03,3.44,3.44,3.35,3.35,1142
2025-06-02,3.45,3.45,3.44,3.44,177
2025-05-30,3.4,3.4,3.4,3.4,323
2025-05-29,3.4,3.4,3.4,3.4,150
2025-05-28,3.43,3.43,3.43,3.43,150
2025-05-27,3.45,3.45,3.45,3.45,1531
2025-05-26,3.44,3.44,3.44,3.44,290
2025-05-23,3.45,3.45,3.44,3.44,913
2025-05-22,3.43,3.43,3.34,3.35,247
2025-05-21,3.45,3.45,3.44,3.44,6
2025-05-20,3.45,3.45,3.34,3.45,64841
2025-05-19,3.32,3.33,3.32,3.33,439
2025-05-16,3.45,3.45,3.37,3.37,15142
2025-05-15,3.31,3.45,3.31,3.45,6
2025-05-13,3.39,3.39,3.32,3.34,13355
2025-05-12,3.45,3.45,3.34,3.34,12618
2025-05-09,3.32,3.41,3.32,3.32,158132
2025-05-08,3.33,3.41,3.32,3.33,194488
2025-05-06,3.33,3.33,3.32,3.32,17594
2025-05-05,3.34,3.34,3.33,3.33,33407
2025-05-02,3.35,3.35,3.34,3.34,60100
2025-05-01,3.35,3.37,3.34,3.36,46692
2025-04-30,3.34,3.34,3.34,3.34,19818
2025-04-29,3.3,3.35,3.3,3.34,85004
2025-04-25,3.3,3.3,3.3,3.3,5
2025-04-24,3.28,3.3,3.28,3.3,3005
2025-04-22,3.19,3.25,3.19,3.25,2367
2025-04-21,3.23,3.23,3.23,3.23,30
2025-04-17,3.23,3.23,3.23,3.23,294
2025-04-16,3.22,3.22,3.22,3.22,88
2025-04-15,3.23,3.23,3.23,3.23,883
2025-04-14,3.23,3.23,3.23,3.23,297
2025-04-10,3.23,3.23,3.23,3.23,294
2025-04-09,3.15,3.15,3.15,3.15,90
2025-04-08,3.15,3.16,3.08,3.15,1732
2025-04-07,3.05,3.13,3.05,3.05,16415
2025-04-04,3.17,3.17,3.17,3.17,315
2025-04-03,3.17,3.24,3.17,3.17,74
2025-04-02,3.23,3.23,3.2,3.23,344
2025-03-28,3.2,3.26,3.2,3.2,17233
2025-03-27,3.19,3.27,3.19,3.19,382
2025-03-26,3.26,3.27,3.26,3.26,602
2025-03-25,3.26,3.29,3.18,3.26,25239
2025-03-24,3.28,3.29,3.28,3.28,25101
2025-03-20,3.29,3.3,3.26,3.29,350
2025-03-18,3.29,3.29,3.29,3.29,962
2025-03-17,3.26,3.28,3.2,3.26,19655
2025-03-14,3.3,3.3,3.3,3.3,35
2025-03-13,3.26,3.26,3.26,3.26,7
2025-03-12,3.26,3.31,3.26,3.26,473
2025-03-11,3.34,3.34,3.3,3.3,299
2025-03-10,3.32,3.32,3.3,3.32,878
2025-03-07,3.3,3.31,3.28,3.3,287597
2025-03-06,3.34,3.34,3.34,3.34,16100
2025-03-05,3.34,3.34,3.34,3.34,85
2025-03-04,3.34,3.34,3.34,3.34,1880
2025-03-03,3.3,3.34,3.3,3.3,1444
2025-02-28,3.34,3.39,3.3,3.34,965
2025-02-27,3.34,3.34,3.34,3.34,2314
2025-02-26,3.34,3.34,3.34,3.34,495
2025-02-25,3.35,3.36,3.26,3.35,3564
2025-02-24,3.36,3.36,3.32,3.36,90937
