Date,Open,High,Low,Close,Volume
2025-10-07,400.0,400.2,400.0,400.0,267821
2025-10-06,400.1,400.1,400.0,400.1,293865
2025-10-01,400.1,401.0,400.0,400.0,317199
2025-09-30,400.0,400.5,400.0,400.5,266606
2025-09-29,400.5,400.5,400.0,400.0,280289
2025-09-26,400.3,400.3,400.0,400.0,309003
2025-09-25,400.1,400.4,400.0,400.3,303953
2025-09-24,400.0,400.2,400.0,400.0,276459
2025-09-22,400.0,400.3,400.0,400.1,268962
2025-09-19,400.1,400.4,400.0,400.4,304815
2025-09-16,400.1,400.1,400.0,400.0,303654
2025-09-15,400.0,400.1,400.0,400.0,245264
2025-09-12,400.0,400.1,400.0,400.0,288892
2025-09-11,400.1,400.2,400.0,400.2,281482
2025-09-10,400.1,400.4,400.0,400.0,285277
2025-09-09,400.0,401.7,400.0,400.0,330558
2025-09-08,400.1,401.0,400.1,401.0,322461
2025-09-04,400.1,400.2,400.0,400.0,305402
2025-09-03,400.3,400.4,400.0,400.1,288694
2025-09-02,400.1,400.2,400.0,400.0,321112
2025-08-28,400.7,400.7,400.0,400.1,310185
2025-08-27,400.0,400.7,400.0,400.7,295103
2025-08-26,400.1,400.1,400.0,400.0,255715
2025-08-25,400.0,400.1,400.0,400.1,294261
2025-08-22,400.1,400.1,400.0,400.0,264607
2025-08-21,400.0,400.2,400.0,400.2,298542
2025-08-20,400.1,400.3,400.0,400.2,290646
2025-08-19,400.2,400.5,400.0,400.3,910832
2025-08-18,400.0,400.2,400.0,400.2,237258
2025-08-15,400.2,400.2,400.0,400.0,95523
2025-08-14,400.2,400.6,400.0,400.0,208999
2025-08-13,400.0,400.4,400.0,400.2,279991
2025-08-12,400.2,400.6,400.0,400.2,291857
2025-08-11,400.2,400.5,400.1,400.2,285671
2025-08-08,400.2,400.6,400.0,400.2,302835
2025-08-07,401.7,401.7,400.0,400.1,312559
2025-08-06,400.4,402.0,400.1,402.0,354189
2025-08-05,400.3,400.8,400.1,400.4,289341
2025-08-04,400.0,400.9,400.0,400.1,311815
2025-08-01,401.0,401.0,400.0,400.3,301338
2025-07-31,401.0,401.1,400.0,401.1,304131
2025-07-30,400.0,401.0,400.0,401.0,303749
2025-07-29,400.0,401.0,400.0,400.8,300917
2025-07-28,400.0,400.1,400.0,400.1,128003
2025-07-25,400.0,400.4,400.0,400.1,241896
2025-07-24,400.0,401.1,400.0,400.1,220424
2025-07-23,400.4,401.4,400.0,400.0,421485
2025-07-22,400.1,400.2,400.0,400.0,358816
2025-07-21,400.2,400.9,400.0,400.0,517957
2025-07-18,400.1,400.5,400.0,400.0,316029
2025-07-17,400.1,400.2,400.0,400.1,312557
2025-07-16,400.4,400.5,400.0,400.0,314990
2025-07-15,400.7,400.8,400.1,400.5,308495
2025-07-14,400.8,400.9,400.2,400.8,295646
2025-07-11,400.4,401.2,400.2,401.0,295121
2025-07-10,401.0,401.0,400.1,400.3,302138
