Date,Type,Symbol,Quantity,Price,Amount,Trading Cost,Currency,Description,Exchange,Source
2025-03-17,buy,AVANTIFEED.NS,5,871.55,-4357.75,8.28,INR,Purchased 5Nos. of Shares of AVAFEE,NSE,Flip
2025-03-17,buy,FEDERALBNK.NS,8,177.16,-1417.28,3,INR,Purchased 8Nos. of Shares of FEDBAN,NSE,Flip
2025-03-17,buy,TATASTEEL.NS,10,151.9,-1519,3.89,INR,Purchased 10Nos. of Shares of TISCO,NSE,Flip
2025-03-18,buy,IRCTC.NS,4,702.35,-2809.4,6.34,INR,Purchased 4Nos. of Shares of IRCTC,NSE,Flip
2025-03-18,buy,JYOTHYLAB.NS,5,337.55,-1687.75,3.39,INR,Purchased 5Nos. of Shares of JYOTHYLAB,NSE,Flip
2025-04-11,sell,JYOTHYLAB.NS,-5,375.15,1875.75,3.65,INR,Sold 5Nos. of Shares of JYOTHYLAB,NSE,Flip
2025-04-16,buy,TATASTEEL.NS,15,135.02,-2025.3,,INR,Purchased 15Nos. of Shares of TISCO,NSE,Flip
2025-06-20,sell,AVANTIFEED.NS,-5,744.65,3723.25,7.21,INR,Sold 5Nos. of Shares of AVAFEE,NSE,Flip
2025-06-24,buy,IDEA.NS,8,6.78,-54.24,0.12,INR,Purchased 8Nos. of Shares of IDEA,NSE,Flip
2025-06-24,buy,JIOFIN.BO,10,300.65,-3006.5,6.63,INR,Purchased 10Nos. of Shares of JIOFIN,BSE,Flip
2025-06-24,buy,ONGC.BO,10,246.75,-2467.5,4.94,INR,Purchased 10Nos. of Shares of ONGC,BSE,Flip
2025-06-24,buy,TATASTEEL.NS,3,154.87,-464.61,4.91,INR,Purchased 3Nos. of Shares of TISCO,NSE,Flip
2025-07-22,buy,GATECH.NS,100,0.67,-67,0.25,INR,Purchased 100Nos. of Shares of BRILSE,NSE,Flip
2025-07-22,buy,GOLDIETF.NS,27,85.39,-2305.53,2.17,INR,Purchased 27Nos. of Shares of IPGETF,NSE,Flip
2025-08-06,buy,ITC.NS,5,412.25,-2061.25,4.01,INR,Purchased 5Nos. of Shares of ITCLTD,BSE,Flip
2025-08-06,buy,JPPOWER.NS,6,19.04,-114.24,0.22,INR,Purchased 6Nos. of Shares of JAIHYD,BSE,Flip
2024-03-18,buy,0P0001QYX3.BO,160.04,15.62,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-04-18,buy,0P0001QYX3.BO,140.54,17.79,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-05-17,buy,0P0001QYX3.BO,125.15,19.98,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-06-18,buy,0P0001QYX3.BO,103.75,24.1,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-07-18,buy,0P0001QYX3.BO,105.65,23.66,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-08-19,buy,0P0001QYX3.BO,112.14,22.29,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-09-17,buy,0P0001QYX3.BO,114.55,21.82,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-10-17,buy,0P0001QYX3.BO,115.19,21.7,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2025-04-07,sell,0P0001QYX3.BO,-977.01,18.26,17840.14,150.51,INR,Redemption,BSE,Mutual Fund Account
2024-06-10,buy,0P0001QR5R.BO,150.6,16.6,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-07-10,buy,0P0001QR5R.BO,141.4,17.68,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-08-12,buy,0P0001QR5R.BO,142.2,17.58,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-09-10,buy,0P0001QR5R.BO,137.13,18.23,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-10-10,buy,0P0001QR5R.BO,136.23,18.35,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2025-04-08,sell,0P0001QR5R.BO,-707.56,15.96,11292.45,113.32,INR,Redemption,BSE,Mutual Fund Account
2024-03-11,buy,0P0000GB48.BO,26.17,95.53,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-04-10,buy,0P0000GB48.BO,25.65,97.47,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-05-10,buy,0P0000GB48.BO,26.08,95.85,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-06-10,buy,0P0000GB48.BO,24.8,100.81,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-07-10,buy,0P0000GB48.BO,23.61,105.89,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-08-12,buy,0P0000GB48.BO,23.54,106.18,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-09-10,buy,0P0000GB48.BO,22.91,109.1,-2499.88,0,INR,SIP,BSE,Mutual Fund Account
2024-09-24,buy,0P0000GB48.BO,4.43,112.92,-499.98,0,INR,Redemption,BSE,Mutual Fund Account
