Date,Type,Symbol,Quantity,Price,Amount,Trading Cost,Currency,Description,Exchange,Source
2023-02-16,Net Deposit,,,,271.57,,USD,ID: 37fdafdc-d707-42fa-ba74-98b30cf9ab2a - DT23215738,US Market,Sarwa Trade
2023-02-17,buy,VOO,0.218966527,372.07,-81.47,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-02-17,buy,TSLA,0.202666401,201.02,-40.74,,USD,Trade Entry,NasdaqGS,Sarwa Trade
2023-02-17,buy,PERI,0.407269673,33.34,-13.58,,USD,Trade Entry,NasdaqGS,Sarwa Trade
2023-03-29,Net Dividend,VOO,,,0.24,,USD,"Cash DIV @ 1.4874, Pos QTY: 0.218966527, Rec Date: 2023-03-27",NYSEArca,Sarwa Trade
2023-06-20,buy,BTC-USD,0.0004698,27672.94,-13.0,0.0,USD,buy BTC,CCC,Sarwa Crypto
2023-06-20,buy,XLK,0.581936685,171.84,-100.0,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-06-20,buy,VOOG,0.11943626,251.18,-30.0,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-06-20,buy,UAE,0.417475728,14.42,-6.02,,USD,Trade Entry,NasdaqGM,Sarwa Trade
2023-06-20,sell,PERI,-0.407269673,33.54,13.66,,USD,Trade Entry,NasdaqGS,Sarwa Trade
2023-07-05,Net Dividend,VOOG,,,0.06,,USD,"Cash DIV @ 0.6987, Pos QTY: 0.11943626, Rec Date: 2023-06-30",NYSEArca,Sarwa Trade
2023-07-05,Net Dividend,VOO,,,0.25,,USD,"Cash DIV @ 1.5762, Pos QTY: 0.218966527, Rec Date: 2023-06-30",NYSEArca,Sarwa Trade
2023-08-18,buy,SPY,0.091857308,435.46,-40.0,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-08-18,buy,VHT,0.133556611,243.64,-32.54,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-08-18,buy,NOBL,0.321722717,93.25,-30.0,,USD,Trade Entry,Cboe US,Sarwa Trade
2023-08-18,Net Deposit,,,,271.57,,USD,ID: 977a86e5-8ee2-4d0f-90fe-6fc19b29c5bb - DT23818273,US Market,Sarwa Trade
2023-08-22,buy,TSLA,0.089047083,240.21,-21.39,,USD,Trade Entry,NasdaqGS,Sarwa Trade
2023-08-22,buy,UAE,0.190126751,14.99,-2.85,,USD,Trade Entry,NasdaqGM,Sarwa Trade
2023-08-22,buy,XLK,0.263294422,169.62,-44.66,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-08-22,buy,VOOG,0.054228483,254.11,-13.78,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-08-22,buy,VOO,0.099555994,405.4,-40.36,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-08-22,buy,NOBL,0.146682438,92.99,-13.64,,USD,Trade Entry,Cboe US,Sarwa Trade
2023-08-22,buy,VHT,0.061053062,244.05,-14.9,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-08-22,buy,SPY,0.041763972,441.05,-18.42,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-09-07,buy,IBB,0.047021696,126.75,-5.96,,USD,Trade Entry,NasdaqGM,Sarwa Trade
2023-09-07,buy,LUX,1.0,23.0,-23.0,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-09-07,buy,SHOP,0.379384395,64.26,-24.38,,USD,Trade Entry,NasdaqGS,Sarwa Trade
2023-09-07,buy,ADBE,0.04371275,557.73,-24.38,,USD,Trade Entry,NasdaqGS,Sarwa Trade
2023-09-07,buy,BA,0.082145456,217.05,-17.83,,USD,Trade Entry,NYSE,Sarwa Trade
2023-09-07,buy,BKNG,0.003320753,3110.74,-10.33,,USD,Trade Entry,NasdaqGS,Sarwa Trade
2023-09-07,buy,CAT,0.071134406,283.13,-20.14,,USD,Trade Entry,NYSE,Sarwa Trade
2023-09-07,buy,EL,0.066052816,156.39,-10.33,,USD,Trade Entry,NYSE,Sarwa Trade
2023-09-07,buy,NVDA,0.02369919,453.6,-10.75,,USD,Trade Entry,NasdaqGS,Sarwa Trade
2023-09-07,buy,COIN,0.141906697,75.75,-10.75,,USD,Trade Entry,NasdaqGS,Sarwa Trade
2023-09-07,buy,STIP,0.065740664,97.05,-6.38,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-09-07,buy,SPHY,0.282076222,22.62,-6.38,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-09-07,buy,META,0.081603416,298.76,-24.38,,USD,Trade Entry,NasdaqGS,Sarwa Trade
2023-09-07,buy,UAE,0.476125511,14.66,-6.98,,USD,Trade Entry,NasdaqGM,Sarwa Trade
2023-09-07,buy,USRT,0.125987361,50.64,-6.38,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-09-07,buy,VHT,0.024623011,242.05,-5.96,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-09-07,buy,XLK,0.074194863,171.71,-12.74,,USD,Trade Entry,NYSEArca,Sarwa Trade
2023-09-07,Net Deposit,,,,271.57,,USD,ID: 28979918-1174-4ee9-8ba5-afe3d4e44879 - DT23905331,US Market,Sarwa Trade
