Open,High,Low,Close,Volume
9.61,9.62,9.52,9.59,1390333
9.6,9.62,9.4,9.62,10367793
9.92,9.98,9.52,9.6,25150493
9.79,9.86,9.7,9.8,6271819
9.84,9.93,9.71,9.75,8902737
9.6,9.8,9.6,9.8,7204167
9.58,9.65,9.46,9.6,7081007
9.73,9.8,9.57,9.6,5072128
9.58,9.74,9.55,9.72,9167920
9.71,9.78,9.57,9.57,11136075
9.52,9.88,9.45,9.71,19452362
9.17,9.44,9.17,9.42,12047097
9.23,9.33,9.2,9.2,5572051
9.01,9.13,9.01,9.06,6304312
8.9,8.93,8.76,8.82,6704488
8.93,9.0,8.82,8.88,5274320
8.9,9.17,8.88,8.92,21572075
8.74,8.85,8.71,8.8,9909196
8.29,8.99,8.15,8.9,48856536
7.94,8.13,7.9,8.09,11223749
7.75,7.94,7.69,7.94,14922343
7.71,7.82,7.51,7.6,10613416
7.8,7.92,7.71,7.72,6896503
7.92,8.03,7.88,7.88,8809390
7.85,7.97,7.7,7.88,17257106
8.36,8.37,8.18,8.2,13928252
8.41,8.55,8.39,8.39,8954162
8.45,8.45,8.35,8.41,7124185
8.32,8.47,8.27,8.45,9067731
8.25,8.32,8.22,8.28,4228531
8.37,8.43,8.31,8.31,31721579
8.37,8.48,8.35,8.42,23718714
8.35,8.44,8.35,8.37,9500342
8.36,8.43,8.35,8.35,8907882
8.37,8.4,8.33,8.37,4223206
8.35,8.37,8.31,8.37,5611917
8.35,8.37,8.3,8.36,13096471
8.35,8.43,8.29,8.34,19013339
8.31,8.43,8.28,8.3,10277288
8.27,8.35,8.25,8.31,7906789
8.16,8.31,8.13,8.27,13441491
8.26,8.26,8.14,8.17,15758013
8.43,8.43,8.16,8.26,11751164
8.48,8.51,8.41,8.43,11082096
8.38,8.54,8.38,8.43,15858808
8.48,8.51,8.35,8.35,8767915
8.35,8.57,8.35,8.53,18132011
8.19,8.3,8.14,8.3,13284727
8.11,8.21,8.11,8.19,12834886
8.2,8.22,8.08,8.1,9600208
8.25,8.34,8.13,8.27,10604754
8.43,8.43,8.26,8.26,11803225
8.45,8.63,8.4,8.4,13513256
8.22,8.36,8.22,8.32,5123707
8.4,8.48,8.2,8.2,7632888
8.12,8.47,8.12,8.37,12652085
8.0,8.0,7.86,7.86,11479573
8.1,8.19,7.99,8.01,3788209
7.98,8.1,7.9,8.1,1634861
7.86,7.98,7.85,7.98,5575895
8.06,8.06,7.83,7.9,9056648
7.85,8.13,7.73,8.05,10726222
7.86,7.93,7.78,7.85,7746985
7.69,7.82,7.57,7.8,6245659
7.75,8.03,7.67,7.74,11406231
7.62,7.76,7.2,7.6,9933424
7.5,7.98,7.46,7.5,11942553
7.59,7.6,6.97,7.6,23421066
7.79,8.01,7.72,7.72,16170617
8.05,8.25,8.01,8.06,9031085
8.21,8.54,8.15,8.25,10254189
8.47,8.59,8.42,8.42,3651156
8.59,8.67,8.56,8.67,4144895
8.55,8.62,8.48,8.6,3545398
8.55,8.7,8.52,8.53,4435344
8.65,8.68,8.5,8.68,4609588
8.55,8.63,8.44,8.45,11349782
8.48,8.68,8.44,8.44,4526347
8.64,8.68,8.52,8.65,7066366
8.6,8.72,8.57,8.6,6927128
8.67,8.73,8.6,8.7,5622755
8.66,8.7,8.61,8.61,6225550
8.66,8.85,8.63,8.63,7576874
8.68,8.73,8.11,8.68,9399390
8.22,8.54,7.63,8.24,18269865
8.33,8.67,8.3,8.3,10023063
8.6,8.86,8.56,8.6,8061519
8.9,9.12,8.83,8.83,5913493
9.13,9.26,9.06,9.06,12925489
9.14,9.18,8.98,9.18,13859814
9.01,9.15,8.84,9.0,8166057
9.02,9.06,8.93,8.93,16410023
8.97,9.14,8.87,9.0,9992288
9.07,9.24,8.99,9.09,11742008
9.25,9.33,9.22,9.23,12559655
9.25,9.48,9.13,9.32,20357994
9.14,9.16,9.0,9.16,6282682
9.01,9.2,8.79,9.02,17662822
8.79,8.95,8.65,8.84,20088847
8.75,8.91,8.67,8.78,8991695
8.84,9.19,8.65,8.91,13316472
9.23,9.28,9.19,9.19,8238030
9.26,9.28,9.03,9.25,21901344
9.18,9.28,8.9,9.2,28462556
9.1,9.17,8.6,9.1,40594429
8.4,8.5,7.8,8.5,49186566
7.96,7.99,7.83,7.96,12816831
7.85,7.92,7.83,7.83,7356408
7.85,7.89,7.74,7.88,17959575
7.84,7.89,7.68,7.82,18521590
7.65,7.7,7.59,7.68,9497109
7.71,7.73,7.62,7.65,7314734
7.67,7.72,7.63,7.63,3588407
7.7,7.74,7.64,7.68,5621860
7.75,7.8,7.7,7.73,5192348
7.79,7.81,7.75,7.78,9527246
7.79,7.79,7.68,7.75,8263887
7.73,7.76,7.62,7.73,9790452
7.66,7.69,7.5,7.62,11196786
7.5,7.6,7.46,7.46,9545148
7.56,7.63,7.53,7.53,3229814
7.59,7.62,7.55,7.6,3105392
7.67,7.74,7.57,7.57,6155714
7.69,7.74,7.64,7.64,3717543
7.72,7.75,7.65,7.66,5781196
7.79,7.82,7.7,7.7,4381852
7.78,7.79,7.72,7.79,4079865
7.78,7.83,7.72,7.72,8649013
7.95,7.95,7.76,7.76,7344494
7.89,7.99,7.87,7.96,10248573
7.62,7.94,7.62,7.89,20872375
7.6,7.67,7.6,7.61,2978658
7.68,7.69,7.61,7.61,4647370
7.64,7.7,7.61,7.68,9349430
7.48,7.68,7.48,7.63,9592797
7.47,7.55,7.46,7.46,2605880
7.49,7.53,7.47,7.47,1307399
7.5,7.53,7.47,7.49,1176132
7.53,7.53,7.44,7.47,4146226
7.57,7.57,7.5,7.53,3888402
7.6,7.64,7.5,7.5,9429576
7.56,7.65,7.56,7.58,6143974
7.49,7.71,7.49,7.6,12582504
7.65,7.65,7.48,7.48,13674064
7.45,7.76,7.45,7.56,21077342
7.26,7.42,7.26,7.3,7819013
7.38,7.4,7.26,7.26,4052110
7.2,7.39,7.2,7.32,4821383
7.29,7.34,7.17,7.2,8598085
7.48,7.48,7.28,7.28,6753205
7.61,7.61,7.47,7.47,3498031
7.58,7.63,7.53,7.57,8368145
7.56,7.72,7.56,7.56,17390938
7.64,7.64,7.53,7.53,6854974
7.72,7.72,7.58,7.6,4741468
7.76,7.82,7.65,7.7,8852680
7.65,7.78,7.65,7.76,6445739
7.56,7.73,7.56,7.65,20033665
7.72,7.76,7.53,7.53,7539979
7.84,7.84,7.68,7.72,11637072
7.78,7.85,7.77,7.83,7769048
7.73,7.84,7.72,7.76,7565644
7.74,7.81,7.68,7.76,6774352
7.91,7.92,7.74,7.74,8436277
7.92,8.0,7.89,7.89,7368645
7.98,8.0,7.74,7.92,15168574
7.9,8.02,7.88,7.96,15713180
7.89,7.94,7.87,7.88,8458257
7.8,7.9,7.78,7.9,12309816
7.74,7.8,7.64,7.77,7640170
7.61,7.74,7.6,7.74,6731333
7.45,7.58,7.44,7.58,5342942
7.67,7.74,7.45,7.45,9480663
7.64,7.67,7.53,7.67,4959317
7.72,7.73,7.62,7.62,8669964
7.59,7.75,7.54,7.72,18231951
7.8,7.81,7.5,7.52,14057937
7.45,7.75,7.45,7.7,17072069
7.23,7.31,7.22,7.3,5492836
7.24,7.33,7.24,7.28,5145380
7.37,7.43,7.24,7.24,4115166
7.25,7.39,7.25,7.39,6961761
7.28,7.35,7.26,7.26,7818108
7.4,7.42,7.29,7.29,6522866
7.54,7.54,7.4,7.4,8116130
7.5,7.54,7.45,7.54,6876683
7.33,7.52,7.21,7.52,12105549
7.36,7.4,7.31,7.34,6613557
7.45,7.48,7.32,7.36,2940070
7.46,7.52,7.41,7.45,2138672
7.5,7.58,7.46,7.5,4024591
7.03,7.55,7.02,7.52,13321428
6.91,7.1,6.91,7.08,10725050
7.09,7.1,6.94,7.03,7509472
7.36,7.44,7.1,7.1,16163175
7.38,7.45,7.3,7.3,9503451
7.52,7.59,7.4,7.54,10012101
7.57,7.66,7.52,7.52,11269584
7.79,7.8,7.59,7.67,7624290
7.84,7.85,7.79,7.8,4797963
7.85,7.89,7.77,7.88,6429313
7.83,7.85,7.73,7.83,7644358
8.03,8.08,7.83,7.83,6024347
8.01,8.1,7.93,8.1,9609226
7.6,8.2,7.55,8.0,24549192
7.4,7.41,7.3,7.36,4029138
7.33,7.47,7.33,7.4,5082725
7.28,7.36,7.28,7.32,2754224
7.26,7.34,7.23,7.26,3566858
7.24,7.25,7.16,7.25,4476247
7.39,7.44,7.13,7.13,8780465
7.27,7.43,7.27,7.4,6174370
7.58,7.59,7.25,7.25,5694111
7.58,7.61,7.54,7.54,4547352
7.48,7.63,7.48,7.59,6038581
