Open,High,Low,Close,Volume
1.46,1.47,1.44,1.45,375315
1.46,1.46,1.44,1.46,1602096
1.5,1.51,1.47,1.49,3608944
1.52,1.52,1.48,1.49,9767369
1.44,1.52,1.44,1.51,16955524
1.44,1.46,1.42,1.44,3376468
1.45,1.47,1.44,1.45,1820155
1.44,1.47,1.44,1.45,3341636
1.46,1.47,1.44,1.44,4619195
1.47,1.49,1.45,1.46,6282623
1.47,1.48,1.45,1.47,9300723
1.49,1.49,1.45,1.47,7521815
1.51,1.51,1.46,1.47,5840303
1.5,1.53,1.44,1.5,18262258
1.57,1.58,1.48,1.49,33549492
1.39,1.56,1.37,1.56,68635892
1.32,1.36,1.32,1.33,11200737
1.33,1.35,1.32,1.32,6281668
1.34,1.36,1.32,1.32,3588802
1.35,1.36,1.34,1.34,5415142
1.33,1.35,1.3,1.34,9065332
1.31,1.36,1.31,1.33,12209648
1.3,1.32,1.28,1.3,9347517
1.26,1.28,1.24,1.26,5535716
1.28,1.29,1.25,1.25,10362996
1.3,1.3,1.25,1.26,2570454
1.32,1.33,1.28,1.29,4746031
1.34,1.35,1.32,1.33,1821958
1.3,1.37,1.3,1.34,2597021
1.33,1.33,1.26,1.32,4358215
1.43,1.44,1.37,1.38,5495662
1.42,1.45,1.41,1.44,3145128
1.43,1.44,1.41,1.41,1711650
1.41,1.43,1.4,1.43,3383169
1.41,1.42,1.4,1.41,1798435
1.42,1.43,1.4,1.42,4430829
1.42,1.44,1.42,1.43,1927125
1.44,1.45,1.42,1.42,1388636
1.45,1.46,1.44,1.44,1034583
1.45,1.46,1.42,1.45,5840767
1.46,1.46,1.44,1.45,2305510
1.47,1.47,1.45,1.46,1212893
1.46,1.47,1.45,1.46,1358647
1.45,1.47,1.45,1.45,2286354
1.48,1.49,1.46,1.46,1782360
1.48,1.49,1.47,1.48,2563108
1.47,1.49,1.45,1.48,5389019
1.49,1.51,1.48,1.48,4842788
1.51,1.51,1.48,1.49,4774120
1.49,1.51,1.48,1.5,8600234
1.46,1.48,1.45,1.48,3958786
1.44,1.47,1.44,1.45,3439462
1.46,1.47,1.43,1.44,8281827
1.52,1.55,1.51,1.54,6482561
1.51,1.53,1.47,1.52,10209887
1.51,1.52,1.5,1.51,7795907
1.56,1.56,1.51,1.52,4807394
1.57,1.61,1.55,1.56,18397605
1.59,1.59,1.53,1.56,18810959
1.43,1.59,1.43,1.58,30457578
1.44,1.44,1.42,1.44,8876942
1.42,1.46,1.41,1.44,3760098
1.43,1.44,1.41,1.42,2554031
1.45,1.45,1.41,1.42,3297238
1.47,1.47,1.43,1.43,4523518
1.45,1.51,1.43,1.47,12731652
1.45,1.48,1.42,1.45,5146740
1.44,1.49,1.37,1.43,11713549
1.38,1.4,1.35,1.4,7065041
1.32,1.34,1.21,1.32,7401062
1.27,1.32,1.26,1.26,5467644
1.29,1.33,1.24,1.29,6869079
1.37,1.4,1.34,1.37,3823724
1.37,1.42,1.36,1.36,5058048
1.44,1.45,1.42,1.43,1743763
1.44,1.46,1.42,1.42,2007926
1.46,1.48,1.44,1.45,4544216
1.45,1.46,1.43,1.45,2021407
1.44,1.49,1.43,1.43,3055633
1.48,1.5,1.47,1.47,2347533
1.51,1.53,1.47,1.47,3020136
1.53,1.54,1.49,1.52,5712409
1.5,1.52,1.48,1.48,2412781
1.5,1.54,1.5,1.5,3870119
1.52,1.54,1.45,1.52,9232082
1.49,1.5,1.39,1.47,5651614
1.43,1.44,1.36,1.42,4880676
1.37,1.42,1.34,1.37,2698551
1.41,1.45,1.34,1.39,6534050
1.47,1.52,1.45,1.45,3593365
1.49,1.53,1.47,1.49,4924172
1.54,1.59,1.52,1.52,11443763
1.56,1.57,1.49,1.56,17866697
1.51,1.52,1.46,1.49,6999060
1.47,1.52,1.46,1.46,5970260
1.47,1.5,1.45,1.45,7727349
1.49,1.54,1.47,1.48,6383209
1.53,1.56,1.51,1.52,11058308
1.53,1.56,1.51,1.52,7301144
1.53,1.59,1.53,1.53,17765253
1.59,1.6,1.51,1.58,19338853
1.51,1.57,1.48,1.52,13265344
1.58,1.63,1.56,1.56,33338449
1.59,1.59,1.43,1.59,79742498
1.58,1.76,1.58,1.58,46509229
1.75,1.92,1.75,1.75,13970259
1.95,2.01,1.94,1.94,3428813
2.0,2.02,1.99,2.0,2904841
2.02,2.05,2.0,2.02,4057146
2.02,2.05,2.01,2.05,2664604
2.04,2.04,2.02,2.03,1198187
2.03,2.05,2.02,2.02,3432370
2.04,2.06,2.01,2.04,5206070
2.03,2.04,2.0,2.02,4340804
2.0,2.06,1.97,2.06,2674779
2.02,2.03,2.0,2.0,2102814
2.02,2.03,2.0,2.02,2934061
2.02,2.06,2.01,2.01,3600394
2.06,2.08,2.04,2.06,1384217
2.08,2.08,2.07,2.07,3356149
2.08,2.08,2.06,2.06,3732165
2.08,2.1,2.07,2.07,2933231
2.11,2.11,2.06,2.1,2727119
2.07,2.08,2.05,2.06,1759087
2.08,2.11,2.06,2.08,2008615
2.12,2.12,2.09,2.09,2769079
2.09,2.14,2.08,2.11,6793939
2.06,2.1,2.06,2.08,8033935
2.07,2.08,2.06,2.06,5329568
2.06,2.08,2.05,2.06,2068876
2.06,2.08,2.06,2.06,3933679
2.06,2.07,2.05,2.06,5446662
2.03,2.07,2.03,2.06,9200770
2.01,2.05,2.0,2.03,8513777
2.0,2.03,1.99,2.01,4779416
1.97,2.0,1.97,2.0,2700240
1.98,2.0,1.97,1.97,4370856
2.0,2.0,1.96,1.96,3832485
2.01,2.01,1.98,1.98,5338031
2.02,2.02,1.99,1.99,2586492
2.02,2.04,2.0,2.01,4630432
2.0,2.04,1.98,2.02,4260241
1.98,2.01,1.97,1.99,3076118
2.0,2.03,1.96,1.98,3197540
2.01,2.02,2.0,2.0,5703356
2.02,2.04,1.99,2.0,2678028
2.04,2.06,2.01,2.03,2724206
2.03,2.04,2.02,2.04,1876074
2.07,2.07,2.03,2.04,2274616
2.08,2.11,2.06,2.06,2535932
2.12,2.14,2.08,2.09,3690379
2.09,2.12,2.08,2.1,2206450
2.1,2.12,2.08,2.09,4216055
2.12,2.13,2.08,2.09,5326673
2.13,2.13,2.09,2.1,2407188
2.11,2.16,2.11,2.11,3919338
2.1,2.12,2.09,2.11,3082124
2.14,2.14,2.1,2.1,2020128
2.16,2.18,2.12,2.13,5126700
2.14,2.17,2.13,2.15,6283634
2.1,2.14,2.1,2.13,5364186
2.07,2.09,2.06,2.09,1779627
2.06,2.1,2.05,2.06,4399101
2.1,2.1,2.05,2.05,6807624
2.12,2.15,2.1,2.11,10091988
2.22,2.23,2.14,2.15,7495042
2.22,2.23,2.2,2.22,2066247
2.22,2.23,2.21,2.22,1468631
2.22,2.23,2.21,2.21,1732877
2.26,2.26,2.21,2.21,3818705
