Open,High,Low,Close,Volume
3.67,3.69,3.67,3.69,52600
3.63,3.72,3.63,3.67,153032
3.63,3.63,3.63,3.63,509
3.6,3.65,3.54,3.63,19482
3.68,3.68,3.54,3.54,1000
3.51,3.64,3.51,3.54,9106
3.52,3.52,3.44,3.44,74988
3.49,3.5,3.46,3.5,127880
3.44,3.55,3.44,3.46,201870
3.55,3.55,3.46,3.46,237421
3.4,3.5,3.4,3.5,63188
3.46,3.6,3.46,3.5,26840
3.5,3.5,3.46,3.46,730
3.5,3.5,3.43,3.43,54335
3.46,3.46,3.46,3.46,1154
3.47,3.56,3.45,3.45,144257
3.49,3.49,3.44,3.49,1309
3.59,3.59,3.46,3.5,50441
3.35,3.5,3.35,3.5,41036
3.45,3.45,3.44,3.44,14000
3.43,3.43,3.42,3.42,18317
3.45,3.45,3.42,3.42,13588
3.34,3.45,3.34,3.45,2600
3.42,3.42,3.41,3.41,189
3.3,3.43,3.3,3.43,3123
3.43,3.43,3.33,3.43,1279
3.43,3.43,3.33,3.43,694
3.38,3.42,3.38,3.42,1552
3.42,3.43,3.41,3.43,5873
3.45,3.45,3.45,3.45,5
3.45,3.45,3.36,3.36,568
3.44,3.44,3.35,3.35,1142
3.45,3.45,3.44,3.44,177
3.4,3.4,3.4,3.4,323
3.4,3.4,3.4,3.4,150
3.43,3.43,3.43,3.43,150
3.45,3.45,3.45,3.45,1531
3.44,3.44,3.44,3.44,290
3.45,3.45,3.44,3.44,913
3.43,3.43,3.34,3.35,247
3.45,3.45,3.44,3.44,6
3.45,3.45,3.34,3.45,64841
3.32,3.33,3.32,3.33,439
3.45,3.45,3.37,3.37,15142
3.31,3.45,3.31,3.45,6
3.39,3.39,3.32,3.34,13355
3.45,3.45,3.34,3.34,12618
3.32,3.41,3.32,3.32,158132
3.33,3.41,3.32,3.33,194488
3.33,3.33,3.32,3.32,17594
3.34,3.34,3.33,3.33,33407
3.35,3.35,3.34,3.34,60100
3.35,3.37,3.34,3.36,46692
3.34,3.34,3.34,3.34,19818
3.3,3.35,3.3,3.34,85004
3.3,3.3,3.3,3.3,5
3.28,3.3,3.28,3.3,3005
3.19,3.25,3.19,3.25,2367
3.23,3.23,3.23,3.23,30
3.23,3.23,3.23,3.23,294
3.22,3.22,3.22,3.22,88
3.23,3.23,3.23,3.23,883
3.23,3.23,3.23,3.23,297
3.23,3.23,3.23,3.23,294
3.15,3.15,3.15,3.15,90
3.15,3.16,3.08,3.15,1732
3.05,3.13,3.05,3.05,16415
3.17,3.17,3.17,3.17,315
3.17,3.24,3.17,3.17,74
3.23,3.23,3.2,3.23,344
3.2,3.26,3.2,3.2,17233
3.19,3.27,3.19,3.19,382
3.26,3.27,3.26,3.26,602
3.26,3.29,3.18,3.26,25239
3.28,3.29,3.28,3.28,25101
3.29,3.3,3.26,3.29,350
3.29,3.29,3.29,3.29,962
3.26,3.28,3.2,3.26,19655
3.3,3.3,3.3,3.3,35
3.26,3.26,3.26,3.26,7
3.26,3.31,3.26,3.26,473
3.34,3.34,3.3,3.3,299
3.32,3.32,3.3,3.32,878
3.3,3.31,3.28,3.3,287597
3.34,3.34,3.34,3.34,16100
3.34,3.34,3.34,3.34,85
3.34,3.34,3.34,3.34,1880
3.3,3.34,3.3,3.3,1444
3.34,3.39,3.3,3.34,965
3.34,3.34,3.34,3.34,2314
3.34,3.34,3.34,3.34,495
3.35,3.36,3.26,3.35,3564
3.36,3.36,3.32,3.36,90937
3.34,3.37,3.34,3.34,84158
3.34,3.37,3.34,3.34,224
3.35,3.35,3.35,3.35,1135
3.35,3.37,3.34,3.35,1489
3.37,3.37,3.37,3.37,385
3.37,3.37,3.36,3.37,3271
3.37,3.37,3.37,3.37,416
3.37,3.37,3.36,3.37,1537
3.37,3.37,3.35,3.37,2934
3.35,3.35,3.35,3.35,403
3.34,3.36,3.34,3.34,303
3.36,3.36,3.34,3.36,156
3.36,3.37,3.36,3.36,225
3.34,3.34,3.34,3.34,50
3.34,3.36,3.34,3.34,1297
3.34,3.34,3.28,3.34,105745
3.3,3.3,3.3,3.3,1100
3.3,3.3,3.3,3.3,524
3.29,3.3,3.29,3.29,17075
3.3,3.3,3.3,3.3,2143
3.3,3.3,3.3,3.3,86
3.29,3.3,3.29,3.29,18993
3.29,3.29,3.29,3.29,77
3.3,3.3,3.3,3.3,57
3.3,3.3,3.25,3.25,266
3.3,3.3,3.3,3.3,50
3.3,3.3,3.3,3.3,72
3.29,3.3,3.29,3.3,114629
3.27,3.29,3.26,3.29,170307
3.26,3.27,3.22,3.22,224591
3.24,3.24,3.24,3.24,3000
3.23,3.24,3.22,3.24,120000
3.29,3.29,3.22,3.22,2091
3.25,3.25,3.25,3.25,146
3.22,3.22,3.22,3.22,833
3.22,3.22,3.22,3.22,294
3.22,3.22,3.22,3.22,659
3.2,3.2,3.2,3.2,300
3.14,3.25,3.14,3.25,1146
3.16,3.16,3.16,3.16,164
3.17,3.17,3.16,3.16,500
3.17,3.17,3.17,3.17,50
3.15,3.15,3.15,3.15,162
3.1,3.1,3.1,3.1,2999
3.16,3.16,3.16,3.16,1
3.16,3.16,3.16,3.16,13
3.13,3.18,3.13,3.18,6300
