Open,High,Low,Close,Volume
15.45,15.55,15.4,15.5,1604502
15.45,15.5,15.25,15.45,10185647
15.5,15.6,15.15,15.45,14328082
15.3,15.9,15.3,15.7,16099431
15.0,15.1,14.9,15.1,10311380
14.95,15.0,14.8,15.0,13582461
15.05,15.1,14.8,14.85,9389628
15.0,15.15,14.9,15.05,14978402
14.6,15.0,14.5,14.95,16325935
14.5,14.7,14.45,14.55,18670669
14.25,14.55,14.25,14.55,16995848
14.15,14.4,14.15,14.3,10518481
13.95,14.0,13.8,14.0,12252985
14.0,14.1,13.8,13.95,13457678
13.95,14.1,13.9,14.05,10624037
13.5,13.95,13.45,13.95,28417508
13.5,13.6,13.35,13.45,16141453
13.6,13.75,13.45,13.5,17186889
13.6,13.75,13.4,13.6,24040084
13.45,13.6,13.35,13.45,13887861
13.4,13.45,13.3,13.45,12542759
13.15,13.45,13.15,13.4,22615383
12.25,12.45,12.2,12.4,29547166
12.4,12.4,12.0,12.25,13591042
12.55,12.55,12.3,12.4,10363098
12.5,12.75,12.45,12.55,14941202
12.55,12.65,12.25,12.5,15199479
12.15,12.7,12.15,12.55,25501855
13.45,13.45,13.0,13.0,17423111
13.25,13.55,13.25,13.45,14312712
13.3,13.3,13.15,13.25,7244946
13.3,13.35,13.15,13.25,6976079
13.2,13.35,13.05,13.35,13781602
13.2,13.25,13.1,13.15,9310692
13.15,13.3,13.1,13.2,9335777
13.3,13.3,13.15,13.15,33589496
13.5,13.6,13.2,13.3,15290480
13.55,13.6,13.45,13.5,7070058
13.45,13.65,13.4,13.55,8293523
13.6,13.65,13.45,13.55,6867874
13.55,13.65,13.45,13.6,6241346
13.55,13.65,13.5,13.65,11878109
13.3,13.5,13.3,13.45,8424827
13.3,13.3,13.1,13.1,7353121
13.45,13.5,13.2,13.2,10868279
13.35,13.5,13.2,13.5,9200594
13.4,13.6,13.25,13.25,10650255
13.65,13.75,13.4,13.45,10885960
13.75,13.8,13.6,13.6,10851837
13.45,13.8,13.4,13.8,10087835
13.35,13.45,13.3,13.45,6413709
13.2,13.45,13.2,13.4,8896504
13.2,13.25,13.05,13.2,7705992
13.2,13.25,12.95,13.1,13804968
13.15,13.3,13.05,13.2,10432363
12.9,13.15,12.85,13.15,8537908
12.85,12.95,12.75,12.95,8396355
12.8,12.95,12.7,12.7,13275506
12.2,12.4,12.15,12.35,9412931
12.2,12.3,12.15,12.25,4102551
12.15,12.2,12.05,12.15,2423895
12.25,12.3,11.9,12.15,15200203
12.4,12.45,12.15,12.3,9087566
12.15,12.45,12.15,12.45,11332193
12.25,12.35,12.1,12.2,7533907
12.05,12.2,11.85,12.05,15052544
12.4,12.55,12.05,12.05,22812800
11.4,11.95,11.15,11.8,20352027
11.7,11.9,11.6,11.7,26397152
10.85,11.7,10.7,11.55,47092934
11.95,12.15,11.6,11.85,21840545
12.45,12.45,12.15,12.15,13475813
13.4,13.6,13.35,13.45,25169956
13.55,13.55,13.25,13.35,13850100
13.5,13.6,13.4,13.55,13057272
13.5,13.55,13.3,13.5,8672284
13.4,13.55,13.3,13.4,6663903
13.45,13.65,13.4,13.4,8568273
13.3,13.5,13.2,13.4,28651802
13.3,13.5,13.3,13.3,9514866
13.4,13.4,13.15,13.3,11621608
13.55,13.55,13.3,13.35,7004304
13.2,13.5,13.15,13.5,10809538
13.35,13.35,13.05,13.1,8087562
13.2,13.45,13.1,13.4,8004869
12.95,13.3,12.95,13.25,15959791
13.1,13.15,12.6,12.95,30701001
13.8,13.85,13.15,13.15,16596115
13.75,13.75,13.35,13.7,11059586
14.0,14.1,13.6,13.75,11383019
14.15,14.2,13.9,14.0,13517864
13.85,14.2,13.65,14.15,15542615
13.5,13.85,13.45,13.85,13600106
13.9,13.95,13.55,13.55,32662544
13.95,14.05,13.85,13.9,14102599
14.0,14.15,13.95,13.95,11323783
13.9,14.05,13.75,14.05,16931806
14.2,14.25,13.9,13.9,12486999
14.25,14.35,14.15,14.15,10599192
14.3,14.45,14.25,14.25,9076885
14.05,14.35,14.0,14.3,18706571
14.05,14.15,13.85,14.15,14120550
14.1,14.15,13.9,14.05,15686077
14.1,14.1,13.65,13.7,17803400
14.2,14.25,13.95,14.05,24244891
13.8,14.2,13.75,14.2,24378542
13.65,13.8,13.55,13.8,16134495
13.55,13.7,13.55,13.65,7954558
13.45,13.6,13.35,13.6,10559124
13.55,13.6,13.35,13.5,11334999
13.5,13.7,13.35,13.55,15180163
13.35,13.45,13.25,13.45,11850508
13.5,13.7,13.5,13.5,14098827
13.2,13.65,13.2,13.5,18019799
13.05,13.35,13.05,13.2,16969445
13.05,13.2,12.95,13.05,11955976
13.3,13.45,12.95,13.0,17827951
13.5,13.55,13.25,13.3,10927066
13.3,13.5,13.2,13.5,18562097
