Date,Open,High,Low,Close,Volume
2025-07-30,15.45,15.5,15.25,15.45,10185647
2025-07-29,15.5,15.6,15.15,15.45,14328082
2025-07-25,15.3,15.9,15.3,15.7,16099431
2025-07-23,15.0,15.1,14.9,15.1,10311380
2025-07-22,14.95,15.0,14.8,15.0,13582461
2025-07-21,15.05,15.1,14.8,14.85,9389628
2025-07-18,15.0,15.15,14.9,15.05,14978402
2025-07-17,14.6,15.0,14.5,14.95,16325935
2025-07-16,14.5,14.7,14.45,14.55,18670669
2025-07-15,14.25,14.55,14.25,14.55,16995848
2025-07-14,14.15,14.4,14.15,14.3,10518481
2025-07-09,13.95,14.0,13.8,14.0,12252985
2025-07-08,14.0,14.1,13.8,13.95,13457678
2025-07-07,13.95,14.1,13.9,14.05,10624037
2025-07-03,13.5,13.95,13.45,13.95,28417508
2025-07-02,13.5,13.6,13.35,13.45,16141453
2025-07-01,13.6,13.75,13.45,13.5,17186889
2025-06-30,13.6,13.75,13.4,13.6,24040084
2025-06-26,13.45,13.6,13.35,13.45,13887861
2025-06-25,13.4,13.45,13.3,13.45,12542759
2025-06-24,13.15,13.45,13.15,13.4,22615383
2025-06-20,12.25,12.45,12.2,12.4,29547166
2025-06-19,12.4,12.4,12.0,12.25,13591042
2025-06-18,12.55,12.55,12.3,12.4,10363098
2025-06-17,12.5,12.75,12.45,12.55,14941202
2025-06-16,12.55,12.65,12.25,12.5,15199479
2025-06-13,12.15,12.7,12.15,12.55,25501855
2025-06-12,13.45,13.45,13.0,13.0,17423111
2025-06-11,13.25,13.55,13.25,13.45,14312712
2025-06-10,13.3,13.3,13.15,13.25,7244946
2025-06-09,13.3,13.35,13.15,13.25,6976079
2025-06-04,13.2,13.35,13.05,13.35,13781602
2025-06-03,13.2,13.25,13.1,13.15,9310692
2025-06-02,13.15,13.3,13.1,13.2,9335777
2025-05-30,13.3,13.3,13.15,13.15,33589496
2025-05-29,13.5,13.6,13.2,13.3,15290480
2025-05-28,13.55,13.6,13.45,13.5,7070058
2025-05-27,13.45,13.65,13.4,13.55,8293523
2025-05-23,13.6,13.65,13.45,13.55,6867874
