Open,High,Low,Close,Volume
401.0,401.0,400.0,400.3,27750
400.0,401.0,400.0,401.0,303749
400.0,400.4,400.0,400.1,241896
400.0,401.1,400.0,400.1,220424
400.4,401.4,400.0,400.0,421485
400.1,400.2,400.0,400.0,358816
400.1,400.5,400.0,400.0,316029
400.1,400.2,400.0,400.1,312557
400.4,400.5,400.0,400.0,314990
400.7,400.8,400.1,400.5,308495
400.8,400.9,400.2,400.8,295646
400.4,401.2,400.2,401.0,295121
401.0,401.0,400.1,400.3,302138
400.2,401.0,400.0,401.0,280713
400.1,400.9,400.0,400.0,269614
400.1,400.5,400.0,400.0,279385
400.9,400.9,400.0,400.0,316850
400.9,401.2,400.1,400.1,307097
401.0,401.8,400.5,400.9,314488
401.0,401.9,400.2,401.0,305771
400.1,401.9,400.1,401.9,308978
400.9,401.9,400.2,400.9,311513
400.0,401.5,400.0,400.9,302906
400.1,400.3,400.0,400.0,321188
400.0,400.2,400.0,400.0,298751
401.1,401.4,400.0,400.0,432599
401.1,401.1,401.0,401.0,366941
401.0,401.4,401.0,401.1,516828
401.1,401.3,401.0,401.0,422935
401.1,402.4,401.0,401.6,402107
401.2,401.5,401.0,401.0,506881
401.3,402.0,401.0,402.0,496548
401.2,402.0,401.1,402.0,559967
401.2,402.0,401.0,401.8,517505
401.2,402.0,401.0,401.0,411604
401.1,401.2,401.0,401.1,464791
401.1,401.2,401.0,401.1,423092
401.2,401.2,401.0,401.2,412600
401.1,401.5,401.0,401.0,413401
401.1,401.8,401.0,401.0,414710
401.1,401.8,401.0,401.0,428143
402.0,402.0,401.1,401.1,443517
401.7,402.6,401.0,402.0,464161
402.0,403.8,401.0,401.8,505176
402.0,403.0,401.1,402.8,471854
401.9,402.1,401.0,402.1,434329
401.8,402.1,401.0,402.0,513252
401.1,402.0,401.0,401.8,622425
401.2,401.2,401.0,401.0,457110
401.1,401.8,401.0,401.0,490629
401.2,401.4,401.0,401.0,559529
401.1,403.0,401.1,401.1,573034
401.2,404.0,401.0,401.0,486968
402.0,402.0,401.0,401.0,459662
401.5,402.4,401.5,402.0,608842
401.2,403.2,401.0,401.5,670843
401.1,402.1,401.1,401.8,616745
402.4,402.5,401.1,401.9,506219
402.7,402.7,401.8,402.5,594659
401.1,404.8,401.1,402.5,619246
402.5,405.0,401.0,401.0,478548
403.0,403.0,402.2,402.5,828887
401.7,403.0,401.2,402.8,568129
401.9,401.9,401.2,401.7,540825
401.3,402.0,401.1,402.0,597741
401.1,401.2,401.0,401.0,405944
401.2,401.2,401.0,401.0,400957
402.0,402.0,401.0,401.2,378427
402.0,402.0,401.1,401.3,427481
401.1,402.0,401.0,401.2,491155
402.9,402.9,401.0,401.0,477979
401.1,403.0,401.1,402.0,618757
401.4,401.9,401.0,401.9,694547
401.1,401.8,401.0,401.8,448561
401.0,405.0,401.0,401.7,639442
401.1,401.8,401.0,401.0,574342
401.6,405.0,401.1,401.1,593114
402.9,403.0,401.0,401.0,406717
409.4,411.0,404.2,407.9,568550
404.9,405.0,401.1,404.9,587247
405.2,406.2,401.0,403.5,444644
401.3,402.0,401.0,401.0,492832
401.1,401.8,401.0,401.1,510590
401.2,401.5,401.0,401.5,488404
401.0,401.1,401.0,401.0,684630
401.2,401.3,400.9,401.0,434106
401.6,401.7,401.0,401.0,740671
401.5,401.6,401.5,401.5,583817
401.5,401.6,401.5,401.5,885322
401.5,401.9,401.5,401.9,648979
401.6,401.6,401.5,401.6,441300
401.5,401.7,401.5,401.5,470070
401.5,404.0,401.5,401.5,654336
401.6,404.0,401.5,404.0,815566
401.6,401.7,401.5,401.6,357551
401.6,401.7,401.5,401.5,339682
401.5,401.8,401.5,401.5,353448
401.6,402.0,401.4,401.6,341343
401.5,401.7,401.5,401.5,345720
401.6,401.7,401.5,401.7,349198
401.7,402.2,401.5,401.5,407443
401.6,403.0,401.5,403.0,324018
401.5,401.6,401.5,401.5,406285
401.5,401.7,401.5,401.6,421518
401.5,401.7,401.5,401.7,369284
401.8,401.9,401.4,401.5,390631
401.5,402.2,401.5,401.5,415868
401.5,403.0,401.5,401.6,410579
401.6,401.6,401.5,401.5,341888
401.6,401.7,401.5,401.6,280136
401.6,401.6,401.4,401.5,243851
401.6,402.0,401.5,401.6,356683
401.5,401.7,401.5,401.5,384061
401.8,402.1,401.5,401.8,346764
401.6,401.7,401.4,401.5,410556
401.5,402.9,401.5,401.5,324002
401.7,402.0,401.5,401.5,468659
401.5,402.0,401.5,401.5,423977
401.5,401.9,401.0,401.5,379985
401.8,401.8,401.4,401.5,201136
401.9,403.0,401.5,401.5,265316
402.0,403.0,401.9,403.0,381712
401.9,402.0,401.7,401.9,314985
401.9,402.2,401.9,401.9,398107
401.9,403.0,401.9,401.9,421327
401.9,403.5,401.9,401.9,479713
402.6,403.2,401.9,401.9,452527
401.9,404.5,401.9,401.9,411159
402.0,404.2,401.9,401.9,435243
402.1,403.5,401.9,402.1,446810
403.5,403.5,401.9,403.5,416579
401.9,404.0,401.9,401.9,405784
402.0,403.0,401.9,401.9,425129
402.1,402.4,401.9,401.9,452373
402.1,402.1,401.9,401.9,456113
403.0,403.0,402.0,402.0,448187
402.5,403.0,402.5,402.9,386480
402.4,403.5,402.4,402.5,388017
402.8,406.7,402.2,402.3,457456
406.5,407.0,402.8,402.8,424230
402.5,406.8,402.5,406.8,440219
403.0,403.2,402.2,402.5,470464
405.1,405.1,402.4,402.5,415175
404.0,408.0,404.0,405.0,409430
402.3,407.0,402.2,406.0,457973
404.5,404.5,401.9,402.0,435316
408.6,408.6,403.0,404.0,421078
411.5,413.0,408.0,408.0,456578
404.4,413.0,403.5,412.0,411490
409.0,411.0,404.3,411.0,800377
402.0,410.0,402.0,409.9,448214
402.5,402.9,401.9,401.9,490277
401.9,402.5,401.9,402.5,423178
402.0,402.0,401.9,401.9,404799
402.1,402.2,401.9,402.0,417832
402.0,402.2,401.9,401.9,459014
402.1,402.4,401.9,401.9,477322
401.9,402.1,401.9,401.9,416789
401.9,403.9,401.9,401.9,463267
402.2,402.5,401.9,401.9,443412
406.0,406.0,401.9,401.9,442595
402.3,402.8,401.9,402.1,560435
402.0,404.0,402.0,402.0,531014
402.5,406.0,402.0,402.0,489308
404.0,409.0,402.0,402.1,520082
403.8,404.3,402.5,402.6,521308
403.1,407.0,402.5,403.7,480397
403.5,405.0,402.6,403.0,574326
406.8,407.2,403.0,403.0,501201
408.1,409.0,402.5,407.0,472957
411.4,411.4,408.0,408.1,609882
407.9,412.5,406.0,411.5,512148
413.9,415.0,407.5,407.5,1611605
409.0,415.0,407.0,413.9,532050
407.0,409.7,406.0,409.0,497150
406.4,406.4,402.6,403.1,524932
407.4,408.3,406.3,406.3,466961
410.0,411.5,407.4,408.3,468864
412.4,412.8,409.0,410.0,466707
409.5,412.7,407.2,412.6,511037
406.6,410.0,405.6,410.0,516494
406.6,406.8,405.0,406.8,518264
403.8,406.8,403.0,406.8,461959
404.7,405.3,403.3,403.8,421423
402.3,404.9,402.2,404.9,512262
402.1,404.0,402.0,402.2,504557
402.1,402.2,402.0,402.1,400386
402.1,402.9,402.0,402.1,487130
402.1,404.0,402.0,402.0,449670
403.9,403.9,402.0,402.0,434993
402.4,404.0,402.0,404.0,506209
404.9,410.0,402.3,402.3,510635
405.4,406.0,404.4,405.0,508421
404.0,409.0,402.0,405.3,507531
402.8,404.0,402.8,404.0,477638
405.0,405.0,402.3,402.3,504358
406.4,406.4,403.8,403.8,476002
404.9,406.9,403.9,406.4,538589
402.6,405.1,402.6,404.9,444238
405.0,405.0,402.2,402.8,451075
403.2,405.0,402.0,404.9,436232
403.0,405.0,402.1,403.5,450076
402.0,405.0,402.0,402.0,401105
403.0,405.0,402.3,405.0,410293
405.0,405.4,402.0,403.5,407353
405.9,406.0,402.2,404.7,415407
407.2,408.2,404.8,406.0,419225
409.8,409.8,403.5,407.0,439463
410.0,410.5,409.0,410.0,405109
411.0,412.0,409.9,410.7,425182
407.6,410.9,407.0,410.9,405848
409.9,411.0,408.0,410.0,371641
407.0,410.1,407.0,410.0,421174
412.5,412.9,407.0,407.0,423529
410.5,413.0,406.1,412.9,393040
410.9,411.0,407.0,410.8,393908
412.0,412.0,410.0,411.0,391702
410.1,413.0,409.2,412.0,377691
409.2,418.0,408.9,410.0,333290
411.0,411.0,408.5,409.3,431916
412.9,412.9,408.0,411.0,415651
412.0,415.0,410.0,411.3,387127
414.9,414.9,407.2,412.0,400301
415.9,415.9,411.7,414.8,421440
409.4,416.0,407.0,415.9,483892
407.0,412.0,405.2,409.5,439053
408.8,409.9,405.2,409.9,440551
404.2,409.4,404.2,409.4,444192
406.5,408.0,404.0,404.1,433665
410.9,412.0,405.1,406.0,431399
412.5,413.8,410.0,410.8,437414
414.2,414.2,410.0,411.9,421403
416.5,418.0,413.0,414.0,504148
415.5,416.0,412.5,416.0,1179261
415.5,416.0,414.7,415.5,460041
413.0,416.0,411.2,416.0,596105
412.7,413.0,412.0,413.0,449914
409.0,412.7,409.0,412.0,508134
405.9,410.0,404.4,409.5,441374
406.0,406.0,403.2,405.9,452134
403.0,406.0,402.0,406.0,454983
406.0,409.8,401.0,402.0,512345
414.9,414.9,405.0,405.0,503698
410.9,415.0,405.7,415.0,545513
405.9,411.4,403.5,410.9,499489
406.0,409.0,403.5,406.0,463864
405.0,408.2,403.6,405.0,475343
410.5,410.5,403.5,405.0,427734
414.8,414.9,410.0,412.0,423822
413.6,415.0,413.6,415.0,474219
415.0,415.0,414.3,414.8,450396
414.6,415.0,413.8,415.0,447839
415.0,415.0,413.7,414.8,409406
414.6,415.0,413.1,415.0,923128
410.6,414.9,410.6,414.5,670161
410.4,413.6,410.4,410.4,471121
414.2,414.5,410.1,410.1,446853
413.1,414.5,411.7,414.5,525778
411.7,413.0,411.0,413.0,437559
408.8,412.0,404.0,411.9,468832
409.0,409.0,407.0,408.7,454839
409.9,410.1,407.0,409.2,444481
412.1,412.1,409.0,409.9,439722
411.8,412.1,409.0,411.9,425815
411.1,413.8,411.1,412.0,462710
413.8,413.8,411.0,412.9,450529
413.0,413.7,412.0,413.7,438787
414.3,415.0,412.0,413.0,443783
414.0,415.0,414.0,414.5,2571593
409.8,414.5,409.7,414.4,540754
409.8,409.8,409.0,409.7,491285
405.1,410.0,405.1,409.7,463016
407.9,409.8,407.0,407.0,451029
407.2,409.0,407.2,408.0,438023
407.5,410.0,406.5,407.1,438921
408.1,413.7,405.6,406.5,465439
411.6,414.0,407.0,408.0,476771
414.0,414.3,411.1,411.5,447879
405.1,414.4,405.1,414.0,580159
409.8,409.9,404.1,404.6,465282
403.3,409.9,403.3,409.9,507205
413.7,413.8,406.4,407.5,439397
409.3,414.0,401.5,414.0,492310
414.2,414.3,404.2,409.0,417608
414.5,414.5,413.0,414.5,1046427
414.2,414.5,412.0,414.0,446664
413.2,414.5,413.2,414.5,554757
414.5,414.5,411.2,413.1,471056
408.4,414.5,408.4,414.5,526738
410.0,410.0,400.2,408.5,481116
407.0,412.7,405.6,410.0,481804
399.5,407.0,399.4,407.0,687719
399.5,399.6,399.4,399.5,531185
399.5,399.6,399.4,399.5,479518
399.5,399.5,399.4,399.5,472572
399.5,399.7,399.4,399.5,453316
399.5,399.6,399.4,399.5,445198
399.5,399.6,399.4,399.5,472785
399.5,399.6,399.4,399.5,488049
399.5,399.9,399.4,399.9,486369
400.8,400.8,399.4,399.5,478163
399.5,401.0,399.4,401.0,533670
399.6,399.6,399.4,399.5,492851
399.5,399.6,399.4,399.6,476845
399.8,402.0,399.5,399.5,462392
399.6,400.0,399.5,400.0,482577
402.0,402.0,399.5,399.5,458672
404.9,404.9,400.2,402.0,465540
399.7,405.0,399.4,405.0,505602
399.6,405.0,399.5,399.9,543401
399.5,399.6,399.4,399.5,498958
399.5,399.6,399.4,399.6,542958
399.5,399.6,399.4,399.6,697882
399.5,399.6,399.4,399.5,481520
399.5,399.5,399.4,399.5,477269
399.5,399.6,399.4,399.5,498519
399.5,399.6,399.5,399.5,461813
399.5,399.6,399.4,399.6,495507
399.5,399.5,399.4,399.5,520430
399.5,399.6,399.4,399.6,507860
399.5,399.6,399.4,399.5,493817
399.5,399.6,399.4,399.5,515038
399.5,399.5,399.4,399.5,481806
399.4,399.6,399.4,399.5,484066
399.4,399.5,399.4,399.5,502032
399.6,399.6,399.4,399.5,533054
399.5,399.6,399.4,399.6,513162
399.5,399.5,399.4,399.5,495892
399.5,399.9,399.5,399.5,504350
399.5,399.6,399.4,399.5,530883
399.5,399.5,399.4,399.5,510563
399.5,399.6,399.4,399.5,931499
399.5,399.5,399.4,399.5,534319
399.5,399.5,399.3,399.5,553093
399.5,399.6,399.4,399.5,503573
399.7,399.7,399.4,399.6,523398
399.5,400.0,399.4,399.9,514555
399.5,399.9,399.4,399.5,506343
399.5,399.7,399.4,399.5,550260
399.4,399.6,399.4,399.5,521848
399.5,399.6,399.4,399.5,498320
399.5,399.5,399.4,399.5,605186
399.5,399.6,399.4,399.6,499243
399.4,399.7,399.4,399.7,505987
399.5,399.6,399.4,399.5,622483
399.5,399.6,399.4,399.5,484697
399.5,399.9,399.4,399.5,489832
399.5,399.9,399.4,399.5,518169
399.5,400.0,399.4,400.0,507084
399.5,399.8,399.4,399.8,503547
399.5,400.0,399.4,399.5,521928
399.9,399.9,399.4,399.5,499484
399.5,400.0,399.4,400.0,527768
399.5,399.5,399.4,399.5,525960
399.5,400.0,399.4,399.5,506865
399.5,399.6,399.4,399.5,529246
399.5,399.9,399.4,399.5,501339
399.5,400.0,399.4,399.5,513573
399.5,400.0,399.4,399.5,521127
399.5,399.9,399.4,399.5,540988
399.5,400.5,399.4,399.5,512063
399.4,403.0,399.4,401.0,512303
399.5,399.6,399.4,399.6,510051
399.5,399.6,399.5,399.6,495953
399.5,400.0,399.4,399.5,509452
399.5,399.6,399.4,399.5,508804
399.5,399.9,399.4,399.5,514452
399.5,399.7,399.5,399.5,511881
399.5,399.9,399.4,399.5,515772
399.8,399.8,399.4,399.5,551120
399.6,400.0,399.5,399.5,533945
399.6,399.8,399.5,399.5,510234
399.7,399.7,399.5,399.6,515828
399.5,399.9,399.5,399.7,522090
399.6,400.0,399.5,399.8,543329
399.5,399.8,399.5,399.5,568562
399.5,400.0,399.4,399.5,513266
399.5,400.0,399.4,399.5,504058
399.5,399.8,399.4,399.5,501195
402.0,402.0,399.4,399.8,501964
404.1,404.8,400.1,401.8,512875
405.0,406.9,401.9,403.6,520933
408.0,408.0,405.0,407.0,526999
409.9,409.9,405.1,407.2,516085
408.0,410.9,404.2,410.9,528930
409.2,409.2,400.0,408.0,526713
412.0,412.2,408.0,409.0,509963
412.2,413.5,410.0,412.0,526266
410.2,412.2,410.0,412.2,627394
410.2,411.0,410.0,410.3,545586
410.0,411.3,409.0,410.2,523154
409.2,411.9,409.0,410.0,514566
410.2,416.5,409.1,409.2,535077
401.5,414.0,401.5,414.0,690955
399.6,400.1,399.5,400.1,529735
399.6,399.6,399.4,399.5,386498
399.5,399.5,399.4,399.5,447798
399.5,399.5,399.4,399.5,529813
399.6,399.6,399.4,399.5,3003290
399.6,399.7,399.4,399.5,535996
400.0,400.0,399.4,399.4,522946
399.6,400.5,399.4,400.5,546624
399.7,399.8,399.4,399.5,559921
399.5,399.8,399.5,399.5,565826
399.7,399.7,399.4,399.5,547948
399.7,401.5,399.4,399.5,697049
400.0,400.0,399.4,399.5,545882
400.0,400.1,399.5,399.5,554001
399.6,401.0,399.4,401.0,566767
399.6,399.6,399.4,399.5,539630
399.5,399.5,399.4,399.5,547633
399.6,399.6,399.5,399.5,540210
399.6,399.6,399.5,399.5,540635
400.0,400.0,399.4,399.9,559610
399.7,399.8,399.4,399.5,559089
399.9,400.1,399.5,399.5,540387
400.0,400.0,399.5,400.0,546644
399.5,400.0,399.5,400.0,563430
399.5,399.6,399.4,399.5,521564
