Open,High,Low,Close,Volume
2.75,2.78,2.74,2.76,19805718
2.72,2.73,2.6,2.64,32212155
2.68,2.73,2.68,2.73,13849581
2.71,2.73,2.67,2.67,19585998
2.72,2.76,2.68,2.72,60637558
2.63,2.64,2.57,2.61,11605068
2.66,2.67,2.59,2.63,12688365
2.71,2.73,2.62,2.65,27316077
2.62,2.73,2.62,2.7,36027459
2.66,2.72,2.62,2.62,44674201
2.46,2.67,2.45,2.65,71811136
2.45,2.48,2.42,2.46,17194422
2.41,2.53,2.4,2.45,78583254
2.37,2.42,2.34,2.39,21298076
2.4,2.4,2.35,2.35,8416681
2.43,2.43,2.37,2.39,12730585
2.34,2.42,2.33,2.42,23280091
2.39,2.4,2.33,2.35,10615090
2.42,2.52,2.4,2.41,88518213
2.29,2.35,2.28,2.35,42125396
2.31,2.34,2.27,2.29,23481998
2.22,2.3,2.21,2.3,45536521
2.16,2.19,2.14,2.16,17115116
2.18,2.19,2.15,2.15,23605841
2.19,2.23,2.17,2.18,21249002
2.24,2.28,2.18,2.18,26362295
2.2,2.26,2.2,2.23,30598295
2.1,2.21,2.1,2.21,50244469
2.3,2.34,2.26,2.28,49666018
2.36,2.4,2.34,2.37,42009102
2.31,2.36,2.3,2.36,41190484
2.3,2.34,2.27,2.31,31961706
2.34,2.34,2.28,2.29,28336633
2.35,2.37,2.31,2.34,47795473
2.34,2.41,2.34,2.35,55957151
2.37,2.39,2.33,2.33,53078593
2.36,2.4,2.33,2.38,56158411
2.29,2.38,2.28,2.35,80822462
2.17,2.28,2.17,2.27,50141117
2.17,2.2,2.16,2.18,20902957
2.14,2.16,2.11,2.14,20206118
2.16,2.18,2.14,2.14,20788991
2.16,2.19,2.16,2.17,25898567
2.18,2.21,2.16,2.16,26436920
2.21,2.21,2.18,2.18,30026599
2.18,2.21,2.14,2.21,41086220
2.22,2.22,2.16,2.17,60367695
2.24,2.25,2.22,2.23,30940446
2.22,2.25,2.21,2.24,41548361
2.22,2.25,2.18,2.22,54268859
2.17,2.23,2.14,2.22,67614726
2.25,2.26,2.19,2.19,62811131
2.24,2.3,2.24,2.26,69218941
2.2,2.26,2.19,2.25,95551043
2.15,2.24,2.13,2.19,71560804
2.18,2.23,2.11,2.11,72910211
2.03,2.17,2.0,2.11,77926427
1.92,2.13,1.89,2.04,123786938
1.69,1.77,1.68,1.77,46582384
1.67,1.75,1.65,1.7,29198441
1.66,1.66,1.65,1.66,23958584
1.65,1.67,1.64,1.65,32453719
1.69,1.7,1.65,1.66,29764552
1.71,1.74,1.69,1.7,43820659
